step,avg_reward,optimal_pct,cumulative_regret,q_error
1,-0.07857360617353687,9.950000000000001,1.544001015226048,4.951765591024962
2,-0.01948365609936033,8.5,3.0845858801446697,4.901570754463963
3,0.08053599058694894,11.450000000000001,4.572944120416653,4.852376114369841
4,0.004871035506747912,11.4,6.076938471219752,4.8024248247249
5,-0.003777534069634234,10.15,7.618304852352706,4.752387049384213
6,-0.03881342639275614,9.65,9.1694108507132,4.701998915120273
7,-0.020600668578115846,9.65,10.71834146058353,4.651792649109214
8,0.006319687849950389,9.4,12.274910078260325,4.6018558459877195
9,0.03996549059016052,9.25,13.804276728150862,4.5522555008936045
10,-0.02465361021069594,10.65,15.329494032906455,4.502008964791509
11,1.009417338860386,41.05,15.806392360119858,4.46493358061509
12,0.7294966057764802,25.95,16.58005407633399,4.4257860741494675
13,0.592363928412513,17.8,17.541566382194183,4.3857457856391004
14,0.35834564375086403,12.55,18.699423197810702,4.343760228888604
15,0.23049344748026152,11.4,19.97259134080723,4.300822067697609
16,0.11784426576710479,9.55,21.382427406643288,4.257088776302135
17,0.028528821959595878,9.0,22.882296739710412,4.212773032236185
18,-0.08030185837559635,9.9,24.482256334308346,4.16768760275152
19,-0.15037642926678663,10.7,26.152681864845317,4.122246039967387
20,-0.16570186863064232,13.25,27.794706153136012,4.077050917397838
21,0.05815336601607238,19.3,29.249303627265878,4.034578302638316
22,0.22657382440253687,19.75,30.524479219105675,3.994279943693236
23,0.3638565179071043,17.95,31.695120661528566,3.9558426468229118
24,0.3967876942588074,16.7,32.81735015282232,3.9182091810146855
25,0.3859575256174263,14.7,33.96223796383097,3.880915372065503
26,0.41803192025040825,16.400000000000002,35.089014558737546,3.8443560004266577
27,0.34560691715170966,14.799999999999999,36.29684256042794,3.807477857380133
28,0.27979460316693433,15.65,37.54576188764935,3.770322659549133
29,0.2799684296053039,16.6,38.815213973711835,3.7335466752960143
30,0.23398822618413886,15.4,40.13087597794634,3.696687825847892
31,0.24928137938395684,16.1,41.41254891478053,3.6603422266616015
32,0.16992318747498278,16.3,42.73845718049153,3.6235737749256383
33,0.21275302494980164,16.0,44.07948236237158,3.587609346072356
