episode,step,ep_length,cart_pos,pole_angle,cart_vel,pole_vel,cart_pos_dis,pole_angle_dis,cart_vel_dis,pole_vel_dis,action_idx,action_val,reward,epsilon,q_0,q_1,q_2,q_3,q_4,q_5,q_6,q_7,q_8,q_9,q_10,q_11,q_12,q_13,q_14,q_15,q_16,q_17,q_18,q_19,q_20
50,28,29,0.1398252248764038,-0.41855552792549133,-0.274645060300827,-1.5575917959213257,0,-3,0,-12,1,-4.5,23.455852270126343,0.9860940917766235,0.0,-0.10955188274383545,0.04443427920341492,0.0,0.04396434724330903,0.0,0.0,-0.10898914337158204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04191526770591736
51,28,29,-0.11227905005216599,-0.40247073769569397,-0.6571075916290283,-2.0095787048339844,0,-3,-1,-16,7,-1.5,23.822351455688477,0.9860940917766235,0.0,0.0,0.04410766959190369,0.0,0.045650182405114176,0.0,0.0,-0.10897254943847656,0.0,0.04983732801228762,-0.067146897315979,0.0,0.0,0.0,0.0,0.04173136949539185,0.042447569966316226,0.0,-0.1094841480255127,0.0,0.044416993856430054
52,28,29,-0.3836004137992859,-0.4094431400299072,-1.9730782508850098,-3.547285318374634,0,-3,-2,-28,6,-2.0,24.842277586460114,0.9860940917766235,0.0,0.0,0.0,0.0,0.0,0.0,-0.10991908311843873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,28,29,-0.058866821229457855,-0.4112567603588104,-0.7893139123916626,-2.2801103591918945,0,-3,-1,-18,13,1.5,23.65580713748932,0.9860940917766235,0.0,0.0,0.0,0.042123067378997806,0.04265556931495667,0.0,0.0,0.08392185270786287,0.0,0.0,0.0,0.0,0.0,-0.10939030647277832,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,29,30,0.25715216994285583,0.405053049325943,0.8473254442214966,2.198974609375,0,3,1,18,4,-3.0,25.119789004325867,0.9856010447307353,0.0,0.0,0.0,0.042540243268013006,-0.1090514898300171,0.0,0.0,-0.05619367718696595,0.043574631214141846,0.08135047674179077,-0.10930024385452271,0.0,0.0,0.0,0.0,0.0,0.0,0.044133642315864564,0.044048190116882324,-0.10978121757507325,0.0
55,29,30,-0.08969703316688538,0.41818270087242126,0.9601379036903381,2.344773530960083,0,3,1,19,15,2.5,25.44868379831314,0.9856010447307353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043695616722106936,-0.10922298431396485,0.0,0.0,0.0,0.0,0.0,0.042397877573966986,-0.10981488227844238,0.0,0.0,0.042759588360786444,0.04231758713722229,0.0
56,29,30,0.20452134311199188,0.4038683772087097,0.5222816467285156,2.0114142894744873,0,3,1,16,4,-3.0,24.224540531635284,0.9856010447307353,0.04215047657489777,0.04246979355812073,0.0,-0.05497235178947448,-0.1089296817779541,0.0,0.0,0.09079487406909467,0.0,0.0,0.04332346022129059,0.0,0.0,-0.10917059183120728,0.08528909087181091,0.0,0.08642883300781251,0.0,0.043300220370292665,-0.10906469821929932,0.0
57,29,30,-0.12061180919408798,-0.40678560733795166,-0.20476147532463074,-1.4683037996292114,0,-3,0,-12,4,-3.0,24.492037177085876,0.9856010447307353,0.0,-0.10955188274383545,0.04443427920341492,0.0,-0.06940535217523576,0.0,0.0,-0.10898914337158204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04191526770591736
58,29,30,-0.05482757091522217,-0.4148688018321991,-0.2267814725637436,-1.4592478275299072,0,-3,0,-12,12,1.0,24.651801228523254,0.9856010447307353,0.0,-0.10955188274383545,0.04443427920341492,0.0,-0.06940535217523576,0.0,0.0,-0.10898914337158204,0.0,0.0,0.0,0.0,-0.10921943187713623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04191526770591736
59,30,31,-0.0770157128572464,-0.41434037685394287,-0.21718403697013855,-1.5062223672866821,0,-3,0,-12,19,4.5,25.450006306171417,0.98510824420837,0.0,-0.10955188274383545,0.04443427920341492,0.0,-0.06940535217523576,0.0,0.0,-0.10898914337158204,0.0,0.0,0.0,0.0,-0.10921943187713623,0.0,0.0,0.0,0.0,0.0,0.0,-0.10913414955139161,0.04191526770591736
