episode,step,ep_length,cart_pos,pole_angle,cart_vel,pole_vel,cart_pos_dis,pole_angle_dis,cart_vel_dis,pole_vel_dis,action_idx,action_val,reward,epsilon,q_0,q_1,q_2,q_3,q_4,q_5,q_6,q_7,q_8,q_9,q_10
1,16,17,-0.012478767894208431,-0.41712629795074463,-1.8511250019073486,-3.3087072372436523,0,-3,-2,-26,2,-3.0,12.850503027439117,1.0,0.0,0.04266983568668366,-0.11018558740615846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,16,17,0.002845454728230834,0.3941210210323334,1.3477534055709839,2.5789620876312256,0,3,1,21,5,0.0,12.83082914352417,0.9995,0.0,0.0,0.0,0.0,0.0,-0.10880701541900635,0.0,0.0,0.0,0.0,0.0
3,16,17,-0.17969642579555511,-0.4159108102321625,-0.27381572127342224,-1.1441023349761963,0,-3,0,-9,4,-1.0,12.343636691570282,0.9990002500000001,0.0,0.041438004374504095,0.044665709137916565,0.0,-0.10917575359344484,0.0,0.0,0.0,0.0,0.044266074895858765,0.0
4,17,18,-0.14883027970790863,-0.4163999855518341,-0.26038822531700134,-1.1611632108688354,0,-3,0,-9,6,1.0,13.272445321083069,0.9985007498750001,0.0,0.041438004374504095,0.044665709137916565,0.0,-0.10917575359344484,0.0,-0.10915706157684327,0.0,0.0,0.044266074895858765,0.0
5,17,18,-0.0050629484467208385,-0.4138113856315613,-0.5234634876251221,-1.539458990097046,0,-3,-1,-12,7,2.0,13.238844335079193,0.9980014995000627,0.0,0.04452432990074158,0.0,0.043024963140487676,0.0441494107246399,0.04347757697105408,0.04291050732135773,-0.10917751789093018,0.041821938753128056,0.04135091304779053,0.04301946759223938
6,17,18,-0.3487066626548767,-0.410310298204422,-1.9303419589996338,-3.435594081878662,0,-3,-2,-27,4,-1.0,13.845960259437561,0.9975024987503127,0.0,0.0,0.0,0.0,-0.07034785151481629,0.0,0.0,0.0,0.0,0.0,0.0
7,17,18,0.2914678454399109,0.4065569043159485,0.5939139127731323,1.6259849071502686,0,3,1,13,4,-1.0,13.275063574314117,0.9970037475009376,0.0,0.0,0.0,0.0,-0.0712733018398285,0.0,0.0,0.0,0.04412307143211365,0.044054833054542546,0.0
8,18,19,-0.10944919288158417,-0.40227439999580383,-0.9732687473297119,-2.138411521911621,0,-3,-1,-17,4,-1.0,14.57455861568451,0.9965052456271871,0.0,0.0,0.0,0.0,-0.10899924039840699,0.0,0.0,0.0,0.04393115043640137,0.0,0.0
9,18,19,0.3181040585041046,0.41094622015953064,1.1981911659240723,2.458909749984741,0,3,1,20,2,-3.0,14.547260344028473,0.9960069930043736,0.0,0.0,-0.10940805673599244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,19,20,-0.2967289388179779,-0.41316428780555725,-0.6686094403266907,-1.7793203592300415,0,-3,-1,-14,9,4.0,15.249479532241821,0.9955089895078715,0.042260473966598516,0.0,0.0,0.0,0.04319504797458649,0.043293535709381104,0.0439841628074646,0.08504129946231842,0.0,-0.10920124053955078,0.04353112280368805
