episode,step,ep_length,cart_pos,pole_angle,cart_vel,pole_vel,cart_pos_dis,pole_angle_dis,cart_vel_dis,pole_vel_dis,action_idx,action_val,reward,epsilon,q_0,q_1,q_2,q_3,q_4,q_5,q_6,q_7,q_8,q_9,q_10,q_11,q_12,q_13,q_14,q_15,q_16,q_17,q_18,q_19,q_20
11,19,20,0.2795102298259735,0.4123155176639557,0.5658823251724243,1.643168568611145,0,3,1,13,3,-3.5,15.246571660041809,0.9950112350131176,0.0,0.0,0.08861141204833985,-0.21824209690093996,0.0,0.0,0.0,0.0,0.0,0.09597427843213081,0.0,0.10147661648875779,0.0,0.0,0.18033135718729698,0.18663666090643227,0.0,0.0,0.0,0.0,0.08707364797592164
12,20,21,-0.030809007585048676,0.41142359375953674,0.6950142979621887,1.8194292783737183,0,3,1,15,6,-2.0,16.288698136806488,0.9945137293956111,0.0,0.09523454902768136,0.0,0.0,0.0,0.0,-0.21838066577911378,0.0,0.0976591410458088,0.0,0.09800192128815055,0.0,0.0,0.0,0.0,0.0,0.0,0.09803802525146009,0.18398668582014324,0.0,0.0955007701098919
13,20,21,0.2634420394897461,0.4034886956214905,1.2493195533752441,2.603376626968384,0,3,1,21,9,-0.5,16.41973966360092,0.9940164725309134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09199118902087212,-0.21841211318969728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,20,21,-0.08958333730697632,-0.41692599654197693,-0.5890024900436401,-1.717117428779602,0,-3,-1,-14,6,-2.0,16.079072296619415,0.993519464294648,0.0,0.0,0.0938562363922596,0.0,0.0,0.0962833654206276,-0.21896488666534425,0.10286565717004639,0.10258457954667909,0.0,0.0,0.0,0.18666253442094524,0.0,0.0,0.0,0.0,-0.21790766716003418,0.0,0.0,0.0
15,21,22,-0.28576546907424927,-0.4078620970249176,-1.197993516921997,-2.578399896621704,0,-3,-1,-21,3,-3.5,17.22235631942749,0.9930227045625007,0.0,0.0,0.0,-0.2189635992050171,0.0,0.0,0.0,0.0,0.08851491212844849,0.09543316639661789,0.0,0.0,0.09701639726504069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09423431866579057
16,21,22,-0.21437381207942963,-0.40480050444602966,-0.7731590867042542,-1.999959111213684,0,-3,-1,-16,1,-4.5,17.07813560962677,0.9925261932102195,0.0,-0.14339898169040677,0.0,0.09391094353795053,0.0,0.09717141693234443,0.0,0.0,0.09372867650985718,0.0,0.0,0.0,0.0,0.0,0.09273105196589829,0.0,0.0,0.0,0.0,0.08789472579956055,0.0
17,21,22,0.04243968427181244,0.41687971353530884,1.35244882106781,2.771247625350952,0,3,1,22,1,-4.5,17.362184524536133,0.9920299301136144,0.0,-0.21952917575836184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09282682232747674,0.0,0.09181098873790433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,21,22,-0.16556189954280853,-0.4000408351421356,-1.1131078004837036,-2.2647225856781006,0,-3,-1,-18,7,-1.5,17.756012797355652,0.9915339151485576,0.0,0.0,0.0,0.08322951793670655,0.0,0.0,0.0,-0.13865921556949617,0.0,0.09558654730916023,0.0,0.0,0.08742066025733948,0.0,0.0,0.09816376085514428,0.10502180751108033,0.0,0.0,0.0,0.0
19,22,23,0.059899866580963135,0.40074941515922546,0.9861335158348083,2.202227830886841,0,3,1,18,12,1.0,18.553536117076874,0.9910381481909833,0.0,-0.2192105293273926,0.0,0.0,0.0,0.0,0.0,0.0,0.09296038286685944,0.0,0.0,0.0,-0.2179222583770752,0.0,0.0,0.18233297825593087,0.0,0.0,0.0,0.0,0.0858005166053772
20,22,23,-0.07769174873828888,-0.41208648681640625,0.06487832218408585,-0.8275321125984192,0,-3,0,-7,11,0.5,18.07545167207718,0.990542629116888,0.0,0.18329441226605367,0.0,0.09768983829512001,0.0,0.18446524704213607,0.0,0.0,0.10329305106057572,0.0,0.18893610003735511,-0.21770377159118653,0.0,0.0,0.0,0.18545922988303815,0.0,0.0,0.0,0.0,0.08824999928474427
21,22,23,0.06927093118429184,0.4147910475730896,0.7007813453674316,1.9424264430999756,0,3,1,16,8,-1.0,17.946746706962585,0.9900473578023296,0.08630076050758362,0.0,0.19125493263467186,0.0,0.0,0.0,0.0,0.0,-0.21882476806640627,0.0,0.0,0.0,0.0,0.0,0.09627203162099862,0.0,0.09172226344687939,0.0,0.0,0.0,0.0
22,22,23,-0.2809487581253052,-0.4020999073982239,-0.9988270998001099,-2.201230525970459,0,-3,-1,-18,19,4.5,18.55119264125824,0.9895523341234285,0.0,0.0,0.0,0.08322951793670655,0.0,0.0,0.0943197140204391,-0.13865921556949617,0.0,0.09558654730916023,0.0,0.0,0.08742066025733948,0.0,0.0,0.09816376085514428,0.10502180751108033,0.0,0.0,-0.12207514190393604,0.0
23,22,23,0.09437791258096695,0.41067132353782654,0.31178683042526245,1.3488883972167969,0,3,0,11,6,-2.0,18.167827367782593,0.9890575579563669,0.0,0.0,0.0,0.18257699034346436,0.0,0.0,-0.2179351568222046,0.0,0.08293527364730835,0.0,0.0,0.0,0.1027872749436528,0.10501338367475364,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,22,23,0.11536334455013275,0.4029102921485901,1.4199045896530151,2.8722426891326904,0,3,1,23,20,5.0,18.400554418563843,0.9885630291773887,0.0,0.0,-0.2192406177520752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.21884829998016359
25,22,23,-0.11290455609560013,-0.3978484570980072,-1.717388391494751,-3.207197666168213,0,-3,-2,-26,5,-2.5,18.775582015514374,0.9880687476628001,0.0,0.0,0.0,0.0,0.0,-0.21856291294097902,0.0,0.0,0.08417166471481324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,22,23,-0.15082594752311707,-0.40527358651161194,-1.027293086051941,-2.301867961883545,0,-3,-1,-18,4,-3.0,18.450667023658752,0.9875747132889687,0.0,0.0,0.0,0.08322951793670655,-0.2184860944747925,0.0,0.0943197140204391,-0.13865921556949617,0.0,0.09558654730916023,0.0,0.0,0.08742066025733948,0.0,0.0,0.09816376085514428,0.10502180751108033,0.0,0.0,-0.12207514190393604,0.0
27,23,24,-0.13612063229084015,-0.41558438539505005,-0.6110411882400513,-1.8376860618591309,0,-3,-1,-15,5,-2.5,18.9262712597847,0.9870809259323243,0.0,0.0,0.0,0.1776738337989484,0.0,-0.12367354244317687,0.0,0.0,0.09323363418812157,0.09706841329932214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2629799908144178,0.0,0.0,0.08728410005569459
28,23,24,-0.21486561000347137,-0.4120079576969147,0.1889229118824005,-0.7308337688446045,0,-3,0,-6,9,-0.5,18.800810873508453,0.9865873854693582,0.0,0.10054527505909863,0.0,0.0,0.0,0.10485720087866904,0.08821142911911012,0.10773084932221817,0.0,-0.21766841411590576,0.0,0.0,0.09903269284495027,0.0,0.0,0.08980897068977356,0.1013028644932531,0.0,0.09793531764392405,0.0848925828933716,0.0
29,23,24,0.2047509253025055,0.41824331879615784,0.008241078816354275,1.025972604751587,0,3,0,8,11,0.5,18.753387689590454,0.9860940917766235,0.0,0.08920692205429077,0.0,0.10443555117845536,0.0,0.0,0.0,0.0,0.09284636629937887,0.0,0.0,-0.2184396743774414,0.0,0.0,0.0,0.0,0.0,0.0,0.09499755092682244,0.0,0.10393657170421189
30,23,24,-0.09653376787900925,-0.4087114930152893,-1.0719441175460815,-2.1915903091430664,0,-3,-1,-18,14,2.0,19.72546911239624,0.9856010447307353,0.0,0.0,0.0,0.08322951793670655,-0.2184860944747925,0.0,0.0943197140204391,-0.13865921556949617,0.0,0.09558654730916023,0.0,0.0,0.08742066025733948,0.0,-0.2184471368789673,0.09816376085514428,0.10502180751108033,0.0,0.0,-0.12207514190393604,0.0
31,24,25,0.19538089632987976,0.4068272113800049,1.0784215927124023,2.294201374053955,0,3,1,18,15,2.5,20.707431495189667,0.98510824420837,0.0,-0.2192105293273926,0.0,0.0,0.0,0.0,0.0,0.0,0.09296038286685944,0.0,0.0,0.0,-0.09060944221900807,0.0,0.09705536435447393,-0.054487336628988414,0.0,0.0,0.0,0.0,0.0858005166053772
32,24,25,-0.21060135960578918,-0.4155329167842865,-0.32387781143188477,-1.4712761640548706,0,-3,0,-12,1,-4.5,19.8271045088768,0.9846156900862658,0.0,-0.21876380443572999,0.0,0.0,0.0,0.10876398914143914,0.10455445577202294,0.0,0.10687781243727464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,24,25,0.05384870618581772,-0.4184103012084961,0.33164212107658386,-0.6649487614631653,0,-3,0,-5,4,-3.0,19.28624039888382,0.9841233822412228,0.18453780991985202,0.0,0.0,0.0,-0.1291982953574143,0.0,0.0,0.0,0.0,0.0,0.0,0.10076252454650628,0.107179650009992,0.0,0.0,0.0,0.0,0.0,0.0,0.09736616250872612,0.0
34,24,25,0.004713314585387707,0.4135310649871826,0.259735643863678,1.4519782066345215,0,3,0,12,9,-0.5,19.550242841243744,0.9836313205501022,0.0,0.0,0.0,0.0,0.09513242706191541,0.0,0.0,0.0,0.09260640172219355,-0.2183398723602295,0.0,0.09861185374646056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,24,25,0.07338087260723114,-0.4120258688926697,0.06828674674034119,-1.0026541948318481,0,-3,0,-8,2,-4.0,19.450432062149048,0.9831395048898272,0.10767988735086481,0.09913255204685839,-0.21805734634399415,0.0,0.0,0.0,0.0,0.0,0.20194691334748022,0.0,0.0,0.0,0.0,0.0,0.1974587662908211,0.25904754115417816,0.10705236429107415,0.10761575931442009,0.18129253656251304,0.0,0.0
36,24,25,0.11365379393100739,-0.40556952357292175,-0.589388370513916,-1.7597875595092773,0,-3,-1,-14,14,2.0,20.280127108097076,0.9826479351373822,0.0,0.0,0.0938562363922596,0.1031019571718676,0.0,0.0962833654206276,-0.21896488666534425,0.10286565717004639,0.10258457954667909,0.0,0.0,0.0,0.18666253442094524,0.0,-0.21783576011657715,0.0,0.09350088458930912,0.008897842537202341,0.0,0.0,0.0
37,24,25,0.04879868030548096,-0.4051486849784851,-0.6714397668838501,-1.8936331272125244,0,-3,-1,-15,17,3.5,20.196557641029358,0.9821566111698136,0.0,0.0,0.0,0.1776738337989484,0.0,-0.12367354244317687,0.0,0.0,0.09323363418812157,0.19128169804533554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018843704379460396,0.0,0.0,0.08728410005569459
38,24,25,0.02451162226498127,0.4092332124710083,0.2514439523220062,1.154467225074768,0,3,0,9,14,2.0,20.576477348804474,0.9816655328642288,0.0,0.10127485991716385,0.08796058297157289,0.09717705118656159,0.0,0.11348312204415073,0.0,0.0,0.0,0.0,0.0,0.0,0.0946345008709624,0.09646322295752169,-0.21783998012542727,0.0966596333422854,0.0,0.0,0.10585898880971763,0.0,0.0
39,25,26,0.06444738060235977,0.4142000377178192,0.35969966650009155,1.4766799211502075,0,3,0,12,6,-2.0,21.014827489852905,0.9811747000977967,0.0,0.0,0.0,0.0,0.09513242706191541,0.0,-0.21834259033203127,0.0,0.09260640172219355,-0.2183398723602295,0.0,0.09861185374646056,0.0,0.09847781676101458,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,25,26,0.06885531544685364,0.40848496556282043,1.487276554107666,2.9649577140808105,0,3,1,24,20,5.0,21.5438991189003,0.9806841127477479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.21941282749176028
41,25,26,0.2840685546398163,0.41706061363220215,0.4015011191368103,1.626597285270691,0,3,0,13,9,-0.5,20.705405175685883,0.9801937706913741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.21878757476806643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
