episode,step,cart_pos,pole_angle,cart_vel,pole_vel,cart_pos_dis,pole_angle_dis,cart_vel_dis,pole_vel_dis,action_idx,action_val,reward,epsilon,q_0,q_1,q_2,q_3,q_4,q_5,q_6,q_7,q_8,q_9,q_10,q_11,q_12,q_13,q_14,q_15,q_16,q_17,q_18,q_19,q_20,q_21,q_22,q_23,q_24
0,0,0.13649877905845642,-0.12030722945928574,0.0,-0.0,0,-1,0,0,14,0.833333333333333,0.9856058955192566,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09856058955192566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,0.13680434226989746,-0.11997530609369278,0.05587340518832207,0.06744200736284256,0,-1,0,1,13,0.41666666666666696,0.9857733845710754,0.999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09857733845710755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,2,0.13746848702430725,-0.11927521228790283,0.07655786722898483,0.08103077858686447,0,-1,0,1,6,-2.5,0.9855167269706726,0.998001,0.0,0.0987806260585785,0.0,0.0,0.0,0.0,0.18640793323516847,0.0,0.0,0.0,0.0,0.0,0.09938790798187257,0.1861622077226639,0.09872833490371705,0.0,0.0,0.0,0.10827537494897843,0.09692447781562806,0.09660741090774537,0.09879639148712159,0.0,0.0,0.0
0,3,0.1370944380760193,-0.12034644931554794,-0.12164086103439331,-0.24070817232131958,0,-1,0,-2,12,0.0,0.9848995208740234,0.997002999,0.0,0.0,0.0,0.0,0.196151464343071,0.0,0.0,0.09732539057731629,0.0,0.0,0.1858465176820755,0.0,0.09848995208740235,0.0,0.11601858881294727,0.09880976676940918,0.09649114012718202,0.0,0.1447616864074794,0.09687937498092652,0.0,0.0,0.20767207927540443,0.0,0.0
0,4,0.13588200509548187,-0.12288399785757065,-0.11880131810903549,-0.25459498167037964,0,-1,0,-2,24,5.0,0.9850375652313232,0.996005996001,0.0,0.0,0.09899184107780457,0.09798802137374879,0.196151464343071,0.10921686468720436,0.09676424264907837,0.09732539057731629,0.0,0.0,0.1858465176820755,0.09839798212051393,0.2016149336133523,0.1165824527570981,0.11601858881294727,0.09880976676940918,0.09649114012718202,0.0,0.1447616864074794,0.09687937498092652,0.0,0.10867463276386263,0.20767207927540443,0.0,0.09850375652313233
0,5,0.13681453466415405,-0.12232111394405365,0.2561555504798889,0.3011413812637329,0,-1,0,2,17,2.083333333333333,0.9859967827796936,0.995009990004999,0.0,0.09903008341789246,0.19605867863297466,0.2821201079708338,0.18907380640506746,0.0,0.32059607254119565,0.2208968984028578,0.40233098641852083,0.11965977870076122,0.43497086278815755,0.0,0.0,0.19660556808948515,0.0,0.0,0.0,0.11918453520009403,0.27339267758727076,0.0,0.0,0.2027403059822321,0.18639985084533695,0.0,0.0
0,6,0.14010249078273773,-0.11833518743515015,0.38604581356048584,0.481741726398468,0,-1,0,4,10,-0.833333333333333,0.9868863821029663,0.994014980014994,0.12634827306424976,0.1083433271765709,0.23645285798438312,0.12291598314744234,0.0995115339756012,0.10955369047679314,0.0,0.09920228719711305,0.3431080684852201,0.0,0.3042626042070068,0.11081434414226901,0.0,0.21452417679336608,0.1975430195818603,0.0,0.19628890846967698,0.28678984446713485,0.0,0.09906323552131653,0.09854020476341248,0.0,0.18731246888637543,0.09895865917205811,0.09718371033668519
0,7,0.14339971542358398,-0.11451476067304611,0.2891294062137604,0.31541863083839417,0,-1,0,3,1,-4.583333333333333,0.9868372678756714,0.993020965034979,0.09951779246330261,0.27588977833986283,0.0,0.2733472041376366,0.326367693806934,0.3154598444917679,0.0,0.3154581651194732,0.11780698141038418,0.0,0.09914735555648804,0.0,0.0,0.10848258603811266,0.0,0.0,0.18599693179130555,0.18799097061157227,0.0,0.09806994795799256,0.09883506894111634,0.0,0.09819866418838502,0.09966918230056764,0.0
0,8,0.14417874813079834,-0.11472895741462708,-0.08014309406280518,-0.2680593430995941,0,-1,0,-2,6,-2.5,0.9857953786849976,0.9920279440699441,0.18611096501350405,0.18632019579410553,0.18687457740306856,0.09798802137374879,0.3589519512270689,0.10921686468720436,0.2266073081589547,0.19405870582461357,0.0,0.0,0.1858465176820755,0.18504594445228578,0.29738402570278555,0.2112702933754961,0.11601858881294727,0.09880976676940918,0.23598179165787458,0.0,0.2794755249433865,0.32042969856868586,0.0988614559173584,0.10867463276386263,0.20767207927540443,0.0,0.29237368432855604
0,9,0.14230553805828094,-0.11918307095766068,-0.26649919152259827,-0.571173906326294,0,-1,0,-5,23,4.583333333333334,0.9851279258728027,0.9910359161258742,0.188585541844368,0.18616030871868133,0.0,0.1091606139242649,0.26300676918029786,0.0,0.0994269847869873,0.09917275905609131,0.0,0.09692524075508119,0.0967044770717621,0.18420930445194245,0.0,0.10621467029452325,0.21263862971091274,0.11956926700568078,0.09637063145637513,0.1863545298576355,0.1195734864883349,0.10865917615294457,0.0,0.2755859179603963,0.21602850433991544,0.4970787816523665,0.11697776367723943
