episode,step,cart_pos,pole_angle,cart_vel,pole_vel,cart_pos_dis,pole_angle_dis,cart_vel_dis,pole_vel_dis,action_idx,action_val,reward,epsilon,q_0,q_1,q_2,q_3,q_4,q_5,q_6,q_7,q_8,q_9,q_10,q_11,q_12,q_13,q_14,q_15,q_16,q_17,q_18,q_19,q_20,q_21,q_22,q_23,q_24
0,0,0.13649877905845642,-0.12030722945928574,0.0,-0.0,0,-1,0,0,14,0.833333333333333,0.9856058955192566,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09856058955192566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,0.13680434226989746,-0.11997530609369278,0.05587340518832207,0.06744200736284256,0,-1,0,1,13,0.41666666666666696,0.9857733845710754,0.999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09857733845710755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,2,0.13746848702430725,-0.11927521228790283,0.07655786722898483,0.08103077858686447,0,-1,0,1,6,-2.5,0.9855167269706726,0.998001,0.0,0.0987806260585785,0.0,0.0,0.0,0.0,0.20775962659416666,0.0,0.0,0.0,0.0,0.0,0.11878611546241642,0.19594148970246317,0.12001495460679806,0.0,0.0,0.0,0.11338652482493781,0.10868321571794011,0.11138824609383012,0.11357722667320634,0.0,0.0,0.0
0,3,0.1370944380760193,-0.12034644931554794,-0.12164086103439331,-0.24070817232131958,0,-1,0,-2,12,0.0,0.9848995208740234,0.997002999,0.0,0.0,0.0,0.0,0.2187501684235733,0.0,0.0,0.11709166828282627,0.0,0.0,0.20619821572910552,0.0,0.12096955061070083,0.0,0.1364288335031543,0.1135124580489006,0.1353599970525775,0.0,0.1502904271100169,0.10663853148818017,0.0,0.0,0.22706665175048973,0.0,0.0
0,4,0.13588200509548187,-0.12288399785757065,-0.11880131810903549,-0.25459498167037964,0,-1,0,-2,24,5.0,0.9850375652313232,0.996005996001,0.0,0.0,0.12626753592235623,0.10979883020077821,0.2187501684235733,0.12143421388860627,0.12403993749363003,0.11709166828282627,0.0,0.0,0.20619821572910552,0.11891551074369128,0.22999476385327897,0.11939205595085084,0.1364288335031543,0.1135124580489006,0.1353599970525775,0.0,0.1502904271100169,0.10663853148818017,0.0,0.12928685542547785,0.22706665175048973,0.0,0.14018142627525434
0,5,0.13681453466415405,-0.12232111394405365,0.2561555504798889,0.3011413812637329,0,-1,0,2,17,2.083333333333333,0.9859967827796936,0.995009990004999,0.0,0.12504549189090367,0.2168413377545208,0.32072780422488795,0.3134134783237206,0.0,0.3759828979048739,0.28378129427899823,0.532895601398391,0.1502427374337321,0.5272425141163453,0.0,0.0,0.237136278783444,0.0,0.0,0.0,0.12892827131908088,0.303593040466583,0.0,0.0,0.20773559627143806,0.20743308374769925,0.0,0.0
0,6,0.14010249078273773,-0.11833518743515015,0.38604581356048584,0.481741726398468,0,-1,0,4,10,-0.833333333333333,0.9868863821029663,0.994014980014994,0.12904932084085413,0.11329615875347519,0.29824488718252307,0.14736577024203593,0.10929081595540047,0.16463153180780007,0.0,0.12048890690019405,0.40804505908021227,0.0,0.3566473148931184,0.12550970693152866,0.0,0.2465705518252234,0.2304759373990556,0.0,0.20995358523933355,0.3063494246576921,0.0,0.11180389502562615,0.11224972139922121,0.0,0.1993369488402567,0.09895865917205811,0.09718371033668519
0,7,0.14339971542358398,-0.11451476067304611,0.2891294062137604,0.31541863083839417,0,-1,0,3,1,-4.583333333333333,0.9868372678756714,0.993020965034979,0.09951779246330261,0.3459129484523371,0.0,0.2853426382528875,0.3895100302738612,0.4170391906157731,0.0,0.3867759398372602,0.11877513032638432,0.0,0.10987800234516264,0.0,0.0,0.12674465556662998,0.0,0.0,0.2007777669773903,0.22162459385133698,0.0,0.11288143337867827,0.11362516514002866,0.0,0.09819866418838502,0.11161974551781365,0.0
0,8,0.14417874813079834,-0.11472895741462708,-0.08014309406280518,-0.2680593430995941,0,-1,0,-2,6,-2.5,0.9857953786849976,0.9920279440699441,0.20007164830750063,0.21122563939848496,0.23384961643150326,0.10979883020077821,0.41829760506781727,0.12143421388860627,0.263788677843763,0.22981140449228024,0.0,0.0,0.20619821572910552,0.23812304014618235,0.3326601952074295,0.24550958503558637,0.1364288335031543,0.1135124580489006,0.2789116604788586,0.0,0.29447795210781785,0.38641628458859545,0.1522602374397539,0.12928685542547785,0.22706665175048973,0.0,0.37859948501067664
0,9,0.14230553805828094,-0.11918307095766068,-0.26649919152259827,-0.571173906326294,0,-1,0,-5,23,4.583333333333334,0.9851279258728027,0.9910359161258742,0.20114024416850862,0.19871501104282197,0.0,0.1190071853269114,0.29499522809939765,0.0,0.11142519706617876,0.09917275905609131,0.0,0.1353745845153221,0.13515382083200303,0.22372360402679248,0.0,0.12382213616115628,0.22268508191021236,0.15863549511086378,0.1070001759581514,0.22555472655830078,0.12129587597279773,0.12494974121668799,0.0,0.37626263730543386,0.3436719989960469,0.6597351184512803,0.14920469870311076
