episode,step,ep_length,cart_pos,pole_angle,cart_vel,pole_vel,cart_pos_dis,pole_angle_dis,cart_vel_dis,pole_vel_dis,action_idx,action_val,reward,epsilon,q_0,q_1,q_2,q_3,q_4,q_5,q_6,q_7,q_8,q_9,q_10
1,14,15,-0.05135279521346092,0.40108993649482727,1.3422383069992065,2.5509114265441895,0,3,1,20,10,5.0,10.806819379329681,0.9930227045625007,0.0,0.0,0.0,0.0,0.0,0.0,0.08470285534858704,0.0,0.0,0.0,-0.21841969490051272
2,14,15,0.2646297812461853,0.4141140580177307,0.7242901921272278,1.721118450164795,0,3,1,14,8,3.0,10.436122715473175,0.9930227045625007,0.0,0.0,0.0,0.0,0.0,0.08285095691680909,0.0,0.08762683272361756,-0.2187654256820679,0.0,0.0
3,15,16,-0.15200728178024292,-0.4081215560436249,-0.7888362407684326,-1.822938084602356,0,-3,-1,-15,4,-1.0,11.519270837306976,0.9925261932102195,0.0,0.0,0.0,0.0,-0.13862298607826234,0.0,0.08717236518859864,0.0,0.0,0.0,0.0
4,15,16,0.059579044580459595,0.4132503867149353,0.8922924399375916,1.963059663772583,0,3,1,16,5,0.0,11.573817551136017,0.9925261932102195,0.0,0.0,0.0,0.0,0.0,-0.1407373172044754,0.08513714075088502,0.0,0.0,0.0,0.0
5,16,17,0.2818000316619873,0.4146400988101959,0.33213186264038086,1.2279882431030273,0,3,0,10,4,-1.0,12.319557547569275,0.9920299301136144,0.0,0.0,0.0,0.0,-0.21821696758270265,0.0,0.0,0.0,0.0,0.0,0.0
6,16,17,0.1722583770751953,0.40792059898376465,1.152857780456543,2.3433754444122314,0,3,1,19,2,-3.0,12.606650590896606,0.9920299301136144,0.0,0.0,-0.1391514426469803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,17,18,-0.05619586631655693,0.41868364810943604,0.8503602147102356,1.9898825883865356,0,3,1,16,9,4.0,13.286835014820099,0.9915339151485576,0.0,0.0,0.0,0.0,0.0,-0.03213422758579254,0.16960021470785142,0.0,0.0,-0.21944057941436768,0.0
8,17,18,-0.017256412655115128,-0.41753843426704407,-0.7328841090202332,-1.8424499034881592,0,-3,-1,-15,2,-3.0,13.17664349079132,0.9915339151485576,0.0,0.0,-0.21916844844818117,0.0,-0.13862298607826234,0.15823948442935945,0.08717236518859864,0.09690815298557282,0.0,0.08785991072654725,0.0
9,17,18,-0.17508317530155182,-0.4112580716609955,-1.0049494504928589,-2.1833417415618896,0,-3,-1,-17,8,3.0,13.468538105487823,0.9915339151485576,0.0,0.0,0.0,0.08671544790267945,0.09236550363898277,0.0,0.0,0.0,-0.2186154365539551,0.0,0.0
10,17,18,-0.019405636936426163,0.399488627910614,1.4266544580459595,2.751371383666992,0,3,1,22,7,2.0,13.635171294212341,0.9915339151485576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.21830563545227052,0.0,0.0,0.0
11,17,18,-0.12672273814678192,-0.4005284607410431,-1.0669760704040527,-2.2375519275665283,0,-3,-1,-18,3,-2.0,13.582168936729431,0.9915339151485576,0.0876177728176117,0.0,0.0,-0.14154207408428193,0.0,0.0,0.08828250169754029,0.0,0.0,0.0,0.0
12,18,19,-0.023970020934939384,0.41417524218559265,0.9554019570350647,2.1301193237304688,0,3,1,17,7,2.0,14.42701643705368,0.9910381481909833,0.0,0.0842570722103119,0.0,0.0,0.0,0.08826145529747009,0.0,-0.21906542778015137,0.09208370118737222,0.0866051197052002,0.0
13,19,20,-0.10863713920116425,-0.40639036893844604,-1.4955707788467407,-2.9148333072662354,0,-3,-1,-23,4,-1.0,15.513771772384644,0.990542629116888,0.0,0.0,0.0,0.0,-0.21899104118347168,0.0,0.0,0.0,0.0,0.0,0.0
14,20,21,0.07960548251867294,-0.4026966392993927,-0.428372859954834,-1.4862815141677856,0,-3,0,-12,1,-4.0,16.102058827877045,0.9900473578023296,0.0,-0.2176531791687012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,21,22,-0.17224256694316864,-0.41217106580734253,-0.4410436749458313,-1.5216362476348877,0,-3,0,-12,2,-3.0,17.102943539619446,0.9895523341234285,0.0,-0.2176531791687012,-0.2184400796890259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,21,22,-0.31423670053482056,-0.4115907847881317,-0.5013964772224426,-1.5437883138656616,0,-3,-1,-12,2,-3.0,17.35504549741745,0.9895523341234285,0.0,0.0,-0.2184063196182251,0.16318841457366945,0.10569413340539933,0.0,0.16448902308940888,0.0,0.0,0.08555468320846558,0.0
17,21,22,-0.035268332809209824,-0.3971574902534485,-1.0856562852859497,-2.3129162788391113,0,-3,-1,-19,0,-5.0,17.615366220474243,0.9895523341234285,-0.14069046735763552,0.0,0.0,0.0,0.0,0.08422659635543824,0.0,0.08308668732643128,0.0,0.0,0.0
18,21,22,0.01602870598435402,-0.40600448846817017,-0.2778933048248291,-1.298431158065796,0,-3,0,-10,4,-1.0,17.044352769851685,0.9895523341234285,0.17956340326368808,0.0,0.0,0.0,-0.21764063835144043,0.16803597033023834,0.0948425859451294,0.0880943238735199,0.0,0.0,0.0
19,21,22,0.2688259482383728,0.41870051622390747,0.5951322913169861,1.7561229467391968,0,3,1,14,0,-5.0,17.085193932056427,0.9895523341234285,-0.14429114341735838,0.0,0.0,0.08804392218589784,0.0,0.08285095691680909,0.08733314275741577,0.08762683272361756,-0.2187654256820679,0.08584154844284059,0.0
20,21,22,-0.17220892012119293,-0.41874709725379944,-0.45289647579193115,-1.5771491527557373,0,-3,0,-13,2,-3.0,16.93615883588791,0.9895523341234285,0.0,0.0,-0.2190568447113037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,21,22,0.00044925312977284193,0.39860233664512634,0.9461972713470459,2.054680347442627,0,3,1,16,6,1.0,17.854629576206207,0.9895523341234285,0.10619490036389828,0.0,0.09371532900929452,0.0,0.0,-0.03213422758579254,-0.005681734502434699,0.0,0.0,-0.21944057941436768,0.0
22,21,22,-0.1390354335308075,-0.41853973269462585,-0.9870001673698425,-2.2387022972106934,0,-3,-1,-18,8,3.0,17.350980043411255,0.9895523341234285,0.0876177728176117,0.08560487627983093,0.0,-0.14154207408428193,0.0,0.08248244524002075,0.08828250169754029,0.0,-0.21930015087127686,0.0,0.0
23,22,23,-0.27714285254478455,-0.4045182764530182,-0.6871615648269653,-1.84089994430542,0,-3,-1,-15,2,-3.0,18.373475670814514,0.9890575579563669,0.08603437542915345,0.0,-0.415297601222992,0.08789029121398927,-0.04033712756633759,0.15823948442935945,0.08717236518859864,0.17532871444940568,0.0,0.08785991072654725,0.0
24,22,23,-0.24812783300876617,-0.4064078629016876,-1.32500422000885,-2.748563528060913,0,-3,-1,-22,3,-2.0,18.397575974464417,0.9890575579563669,0.0,0.0,0.0,-0.21890547275543215,0.0,0.0,0.0856684148311615,0.0,0.0,0.0,0.0
25,22,23,-0.33613866567611694,-0.4035693407058716,-1.2963778972625732,-2.5174062252044678,0,-3,-1,-20,3,-2.0,18.794329166412354,0.9890575579563669,0.0,0.0,0.0,-0.21846292018890381,0.0,0.0,0.0,0.0,0.0968252809405327,0.0,0.0
26,23,24,0.07808160036802292,0.40277695655822754,0.9325441718101501,2.1187286376953125,0,3,1,17,10,5.0,19.615832269191742,0.9885630291773887,0.08753395080566406,0.0842570722103119,0.08713727593421937,0.0,0.0,0.08826145529747009,0.0,-0.21906542778015137,0.09208370118737222,0.0866051197052002,-0.2182161569595337
