episode,step,cart_pos,pole_angle,cart_vel,pole_vel,cart_pos_dis,pole_angle_dis,cart_vel_dis,pole_vel_dis,action_idx,action_val,reward,epsilon,q_0,q_1,q_2,q_3,q_4,q_5,q_6,q_7,q_8,q_9,q_10,q_11,q_12,q_13,q_14,q_15,q_16,q_17,q_18,q_19,q_20,q_21,q_22,q_23,q_24,q_25,q_26,q_27,q_28,q_29,q_30,q_31,q_32,q_33,q_34,q_35,q_36,q_37,q_38,q_39,q_40,q_41,q_42,q_43,q_44,q_45,q_46,q_47,q_48,q_49
0,0,0.13649877905845642,-0.12030722945928574,0.0,-0.0,0,-1,0,0,28,0.7142857142857144,0.9855873584747314,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09855873584747316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,0.1367538720369339,-0.12005262821912766,0.04700165241956711,0.053847480565309525,0,-1,0,0,13,-2.3469387755102042,0.9852916598320007,0.999,0.18885521352291107,0.187235689163208,0.18654799461364746,0.09723763465881348,0.09867942929267884,0.09930363893508912,0.0,0.1887127113342285,0.1865020138025284,0.0,0.0,0.0,0.1864378696680069,0.18723995149135592,0.09711523056030275,0.1862985026836395,0.09676812291145326,0.18530980467796326,0.09942408204078675,0.0,0.09783409237861634,0.09913330674171449,0.33813324453830723,0.0,0.19667684587121012,0.1958525065660477,0.0967886507511139,0.09851004481315613,0.363571693428874,0.18494234681129457,0.0994305431842804,0.18668650746345522,0.3989318476212025,0.09906214475631714,0.0,0.0,0.09669440388679505,0.096569162607193,0.18761630356311798,0.3389592900156975,0.3371706819415093,0.338410533452034,0.18625549852848056,0.0,0.18585247874259953,0.0,0.09675797820091248,0.18530555784702302,0.09885959625244141,0.09662207365036012
0,2,0.13616149127483368,-0.12127809971570969,-0.13760873675346375,-0.24716250598430634,0,-1,0,-2,19,-1.1224489795918369,0.984474778175354,0.998001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09746497869491577,0.0,0.09873852133750916,0.09719609022140503,0.0,0.0,0.0,0.0,0.0,0.0969791352748871,0.09664404392242432,0.0984474778175354,0.0,0.0995711624622345,0.0,0.0,0.0,0.09737905859947205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10812060655951501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,3,0.13432009518146515,-0.12460019439458847,-0.21724572777748108,-0.38754576444625854,0,-1,0,-3,10,-2.9591836734693877,0.9829774498939514,0.997002999,0.0,0.0,0.09763936400413514,0.0,0.09928662776947023,0.09690771698951722,0.0,0.0,0.09839531183242799,0.0994799852371216,0.09829774498939514,0.0,0.0,0.0,0.0,0.0,0.1866079568862915,0.0,0.0,0.09916375279426576,0.0,0.0,0.0,0.0,0.09783576726913452,0.2662853676080704,0.0,0.0,0.0,0.0,0.10896926188468935,0.0,0.0,0.09819504618644714,0.0,0.0,0.09654199481010438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,4,0.13093730807304382,-0.13047057390213013,-0.4277997612953186,-0.728873074054718,0,-1,0,-6,26,0.3061224489795915,0.981091320514679,0.996005996001,0.0,0.09820805191993714,0.0,0.0,0.0,0.0,0.09908379912376404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09948589801788331,0.0,0.0,0.0,0.0,0.0,0.0,0.10908418987989427,0.0,0.0,0.0,0.0981091320514679,0.0,0.0,0.0,0.0,0.0,0.09900704622268677,0.0,0.0,0.0,0.0,0.09823466539382936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,5,0.1269199699163437,-0.1375087946653366,-0.3797543942928314,-0.6752381324768066,0,-1,0,-5,1,-4.795918367346939,0.9782875180244446,0.995009990004999,0.0,0.09782875180244446,0.0,0.0,0.09721615314483643,0.0,0.0,0.0,0.0,0.09929782748222352,0.0,0.0,0.0,0.0,0.0,0.09712147116661073,0.0,0.09886755347251892,0.09925726652145386,0.0,0.0,0.0,0.0,0.0,0.09860118627548219,0.18476700425148013,0.0,0.0,0.0,0.0,0.1172415868639946,0.0,0.09933450818061829,0.0,0.0,0.0,0.0,0.0,0.0970550298690796,0.09833499193191529,0.0,0.09921712279319764,0.0,0.10834309157133103,0.09715251326560975,0.0,0.0978001058101654,0.09712111949920654,0.0,0.0
0,6,0.1212029680609703,-0.14735156297683716,-0.714775562286377,-1.2082217931747437,0,-1,-1,-10,34,1.9387755102040813,0.9750446677207947,0.994014980014994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09669677019119263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09750446677207947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09639466404914857,0.0,0.0,0.0
0,7,0.115122489631176,-0.15797245502471924,-0.5248677134513855,-0.9409202337265015,0,-1,-1,-8,46,4.387755102040817,0.9729411602020264,0.993020965034979,0.09750386476516724,0.0,0.0,0.09607167840003968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09919384121894836,0.0,0.0,0.0,0.09628449678421021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09703518748283387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09771645069122314,0.0,0.0,0.0,0.09729411602020265,0.0,0.0,0.0
0,8,0.11188522726297379,-0.16449572145938873,-0.16871370375156403,-0.4222624599933624,0,-1,0,-3,29,0.9183673469387754,0.9716735482215881,0.9920279440699441,0.0,0.09937953352928162,0.09763936400413514,0.0,0.09928662776947023,0.09690771698951722,0.0,0.0,0.2662391837835312,0.41387672418791055,0.09829774498939514,0.0,0.09829603433609009,0.0,0.09924483299255371,0.10727820709943772,0.1866079568862915,0.1086084081888199,0.0,0.1957824944794178,0.19516968974584936,0.0,0.098839670419693,0.11745117730021477,0.41908876732903716,0.3463645574629307,0.0,0.0,0.09731988906860352,0.10689883157610894,0.10896926188468935,0.10862929822206498,0.0,0.28421126109957695,0.09702425599098206,0.13647076555443505,0.1935304629445076,0.0,0.0,0.0,0.21936197299146654,0.0,0.0,0.0,0.09877761602401734,0.09858360290527345,0.0,0.0,0.19851351829171182,0.0
0,9,0.11059214174747467,-0.16830472648143768,-0.09658688306808472,-0.337354451417923,0,-1,0,-3,10,-2.9591836734693877,0.9697935581207275,0.9910359161258742,0.0,0.09937953352928162,0.09763936400413514,0.09919313788414003,0.09928662776947023,0.09690771698951722,0.0,0.09756464958190919,0.2662391837835312,0.41387672418791055,0.1854473263025284,0.0,0.09829603433609009,0.0,0.09924483299255371,0.10727820709943772,0.1866079568862915,0.1086084081888199,0.0,0.1957824944794178,0.19516968974584936,0.0,0.098839670419693,0.11745117730021477,0.41908876732903716,0.3463645574629307,0.0,0.0,0.09731988906860352,0.10689883157610894,0.10896926188468935,0.10862929822206498,0.0,0.28421126109957695,0.09702425599098206,0.13647076555443505,0.1935304629445076,0.13238537528298497,0.0,0.0,0.21936197299146654,0.0,0.0,0.0,0.09877761602401734,0.1951788116335869,0.0,0.0,0.19851351829171182,0.0
