episode,step,ep_length,cart_pos,pole_angle,cart_vel,pole_vel,cart_pos_dis,pole_angle_dis,cart_vel_dis,pole_vel_dis,action_idx,action_val,reward,epsilon,q_0,q_1,q_2,q_3,q_4
1,14,15,-0.18351911008358002,-0.41240841150283813,-0.9918739795684814,-2.080080270767212,0,-2,-1,-8,1,-2.5,10.580249965190887,0.9930227045625007,0.0,-0.1094451904296875,0.0,0.0,0.0
2,15,16,-0.10705707222223282,-0.4007982015609741,-1.2642539739608765,-2.4854495525360107,0,-2,-1,-10,4,5.0,11.617716252803802,0.9925261932102195,0.0,0.0,0.0,0.04149596691131592,-0.1089341163635254
3,15,16,0.032698944211006165,0.38978564739227295,1.5526368618011475,2.823610782623291,0,2,2,11,4,5.0,11.983909845352173,0.9925261932102195,0.0,0.0,0.0,0.0,-0.10883979797363282
4,16,17,0.03850371390581131,0.41384321451187134,0.5781678557395935,1.5793991088867188,0,2,1,6,3,2.5,12.299245595932007,0.9920299301136144,0.0,0.0,0.0,-0.10930160284042359,0.0
5,16,17,0.2751581072807312,0.4012778401374817,1.5955719947814941,2.9209861755371094,0,2,2,12,3,2.5,12.901907563209534,0.9920299301136144,0.0,0.0,0.0,-0.10930998325347902,0.0
6,16,17,0.2995716631412506,0.4008263647556305,1.182953953742981,2.3765556812286377,0,2,1,10,2,0.0,12.639543354511261,0.9920299301136144,0.0,0.0,-0.10900954008102418,0.0,0.0
7,17,18,0.15850494801998138,0.4048987627029419,1.6670677661895752,3.133976459503174,0,2,2,13,4,5.0,13.435348868370056,0.9915339151485576,0.0,0.0,0.0,0.0,-0.10961811542510987
8,17,18,0.04609775170683861,0.4062260389328003,0.6870301961898804,1.7373182773590088,0,2,1,7,3,2.5,13.375264406204224,0.9915339151485576,0.0,0.0,0.0,-0.07108617454767228,0.0
9,17,18,0.23685266077518463,0.41643670201301575,0.9212983250617981,2.060091972351074,0,2,1,8,1,-2.5,13.46981555223465,0.9915339151485576,0.041436693072319036,-0.10949373245239258,0.041329026222229004,0.0,0.0
10,18,19,0.01132155116647482,0.415384441614151,0.387291818857193,1.3812168836593628,0,2,0,6,0,-5.0,14.153234839439392,0.9910381481909833,-0.10910987854003906,0.0,0.0,0.0,0.0
11,18,19,-0.17890094220638275,-0.39798086881637573,-1.549606442451477,-2.961970806121826,0,-2,-2,-12,4,5.0,14.573310792446136,0.9910381481909833,0.0,0.0,0.0,0.0,-0.10900803804397584
12,19,20,0.25656989216804504,0.3985002040863037,0.9487342238426208,2.2084643840789795,0,2,1,9,1,-2.5,15.112864375114441,0.990542629116888,0.0,-0.10878733396530152,0.0,0.04196690917015076,0.0
13,19,20,-0.08671394735574722,-0.4138715863227844,0.24880880117416382,-0.5327381491661072,0,-2,0,-2,0,-5.0,15.050801575183868,0.990542629116888,-0.1089358925819397,0.041998994350433354,0.0,0.0,0.0
14,19,20,-0.0546581856906414,-0.3998425006866455,-1.4321328401565552,-2.752903699874878,0,-2,-1,-11,0,-5.0,15.70485383272171,0.990542629116888,-0.10924024581909181,0.0,0.0,0.0,0.0
15,19,20,-0.05656680837273598,0.4164689779281616,0.8095834851264954,1.9796634912490845,0,2,1,8,4,5.0,15.280262470245361,0.990542629116888,0.041436693072319036,-0.10949373245239258,0.041329026222229004,0.0,-0.10964360237121583
16,19,20,0.28599998354911804,0.41174250841140747,0.4047392010688782,1.4379874467849731,0,2,0,6,2,0.0,15.091511607170105,0.990542629116888,-0.10910987854003906,0.0,-0.10909582376480104,0.0,0.0
17,20,21,0.37738874554634094,0.41572490334510803,1.1421350240707397,2.3868658542633057,0,2,1,10,0,-5.0,16.576883673667908,0.9900473578023296,-0.10953888893127442,0.0,-0.10900954008102418,0.0,0.0
18,20,21,-0.18946249783039093,-0.4122597277164459,-0.8739078044891357,-2.122920513153076,0,-2,-1,-8,0,-5.0,16.131367683410645,0.9900473578023296,-0.10952024459838867,-0.1094451904296875,0.0,0.0,0.0
19,20,21,0.2676691710948944,0.4068726897239685,1.4565455913543701,2.9224629402160645,0,2,1,12,1,-2.5,16.289509892463684,0.9900473578023296,0.0,-0.10943633317947388,0.0,0.0,0.0
20,21,22,0.3251165449619293,0.40645232796669006,0.7708315849304199,1.8952515125274658,0,2,1,8,0,-5.0,17.475461423397064,0.9895523341234285,-0.0675008088350296,-0.10949373245239258,0.0871710802704096,0.0,-0.06751532032489777
21,21,22,-0.21943163871765137,-0.4150083363056183,-1.5024889707565308,-3.067539930343628,0,-2,-2,-12,4,5.0,17.00013417005539,0.9895523341234285,0.0,0.0,0.0,0.0,-0.2079029715061188
22,21,22,-0.2526249587535858,-0.4096667468547821,-1.3611332178115845,-2.7919623851776123,0,-2,-1,-11,3,2.5,17.344310998916626,0.9895523341234285,-0.06785184144973755,0.0,0.0,-0.1095042109489441,0.0
23,22,23,0.25687453150749207,0.3997931182384491,1.2218164205551147,2.540334701538086,0,2,1,10,0,-5.0,18.56405371427536,0.9890575579563669,-0.1567207749724388,0.0,-0.10900954008102418,0.0,0.0
24,22,23,0.06403923034667969,0.41529545187950134,0.7189734578132629,1.886031985282898,0,2,1,8,4,5.0,18.385147750377655,0.9890575579563669,-0.0675008088350296,-0.10949373245239258,0.0871710802704096,0.0,-0.133761029209733
25,22,23,-0.16883814334869385,-0.4177456498146057,0.32053086161613464,-0.5055241584777832,0,-2,0,-2,4,5.0,17.919905245304108,0.9890575579563669,-0.1089358925819397,0.041998994350433354,0.0,0.0,-0.10885647535324097
26,22,23,0.07590591907501221,0.40459907054901123,1.13176429271698,2.434675931930542,0,2,1,10,3,2.5,18.42422342300415,0.9890575579563669,-0.1567207749724388,0.0,-0.10900954008102418,-0.10925631523132324,0.0
27,22,23,0.034307610243558884,-0.41148310899734497,-0.3790062963962555,-1.4860414266586304,0,-2,0,-6,4,5.0,17.951649248600006,0.9890575579563669,0.0,0.0,0.07945403128862381,0.04201680123806,-0.10898795127868653
28,23,24,-0.03468557447195053,0.4094868004322052,1.4857285022735596,2.9525182247161865,0,2,1,12,2,0.0,19.596562325954437,0.9885630291773887,0.0,-0.10943633317947388,-0.1096234917640686,0.0,0.0
29,23,24,-0.16857169568538666,-0.41473159193992615,-1.053924322128296,-2.4219536781311035,0,-2,-1,-10,4,5.0,19.13914865255356,0.9885630291773887,0.0,0.0,0.041871058940887454,0.07884846150875091,-0.20755341529846194
30,23,24,-0.06700979173183441,-0.4156396985054016,-1.860933542251587,-3.514186382293701,0,-2,-2,-14,3,2.5,19.520136296749115,0.9885630291773887,0.0,0.0,0.0,-0.11007388830184937,0.0
31,23,24,-0.0992465689778328,-0.4051157534122467,-0.545887291431427,-1.7428826093673706,0,-2,-1,-7,2,0.0,18.94828176498413,0.9885630291773887,0.0,0.031140528655052187,-0.0713249471783638,0.0,0.0
32,23,24,-0.12139994651079178,-0.4099123179912567,-0.49205559492111206,-1.6165051460266113,0,-2,0,-6,4,5.0,19.118285298347473,0.9885630291773887,0.0,0.0,0.07945403128862381,0.04201680123806,-0.2070627188682556
33,23,24,-0.23113703727722168,-0.4127511978149414,-0.29825359582901,-1.3243156671524048,0,-2,0,-5,2,0.0,19.217925190925598,0.9885630291773887,0.0,0.0,-0.07175947725772858,0.09273520424693824,0.05021605208247901
34,24,25,-0.27784666419029236,-0.4032105505466461,-1.2572200298309326,-2.5337419509887695,0,-2,-1,-10,1,-2.5,20.71368157863617,0.9880687476628001,0.0,-0.10923588275909424,0.041871058940887454,0.07884846150875091,-0.20755341529846194
35,24,25,-0.10613224655389786,0.4069449305534363,0.11730912327766418,1.252936601638794,0,2,0,5,3,2.5,19.508330404758453,0.9880687476628001,0.0,0.04188992977142334,0.0,-0.06735627651214598,0.0
36,24,25,0.2512088418006897,0.4038194417953491,0.5282402634620667,1.7330127954483032,0,2,1,7,3,2.5,19.977873146533966,0.9880687476628001,0.0,0.0,0.042094054818153384,-0.12932472318708899,0.042059880495071415
