episode,step,cart_pos,pole_angle,cart_vel,pole_vel,cart_pos_dis,pole_angle_dis,cart_vel_dis,pole_vel_dis,action_idx,action_val,reward,epsilon,q_0,q_1,q_2,q_3,q_4
0,0,0.13649877905845642,-0.12030722945928574,0.0,-0.0,0,-2,0,0,4,5.0,0.9862480759620667,1.0,0.0,0.0,0.0,0.0,0.09862480759620668
0,1,0.13857078552246094,-0.11726848781108856,0.3664134740829468,0.5433162450790405,0,-2,1,9,1,-2.5,0.9870264530181885,0.9995,0.0,0.09870264530181885,0.0,0.0,0.0
0,2,0.14097359776496887,-0.1139012798666954,0.14674746990203857,0.1889667958021164,0,-2,0,3,0,-5.0,0.986646294593811,0.9990002500000001,0.0986646294593811,0.0,0.0,0.0,0.0
0,3,0.14021244645118713,-0.11555804312229156,-0.24298229813575745,-0.4258378744125366,0,-2,0,-7,0,-5.0,0.9848439693450928,0.9985007498750001,0.09848439693450928,0.0,0.0,0.0,0.0
0,4,0.13571995496749878,-0.12310981005430222,-0.6035071611404419,-0.9960522651672363,0,-2,-1,-16,1,-2.5,0.9819068312644958,0.9980014995000627,0.0,0.09819068312644959,0.0,0.0,0.0
0,5,0.12883591651916504,-0.1345108300447464,-0.7506916522979736,-1.2402660846710205,0,-2,-2,-20,1,-2.5,0.9780157804489136,0.9975024987503127,0.0,0.09780157804489137,0.0,0.0,0.0
0,6,0.12054156512022018,-0.14827093482017517,-0.8869653940200806,-1.4692102670669556,0,-2,-2,-24,3,2.5,0.9740700125694275,0.9970037475009376,0.0,0.0,0.0971972644329071,0.09740700125694275,0.0
0,7,0.11305065453052521,-0.1610279530286789,-0.6424432992935181,-1.1188459396362305,0,-3,-1,-18,0,-5.0,0.969276487827301,0.9965052456271871,0.09692764878273011,0.0,0.09695965647697449,0.1815032160282135,0.0
0,8,0.10473398864269257,-0.1752813756465912,-0.9724292755126953,-1.6458613872528076,0,-3,-2,-26,0,-5.0,0.9621338844299316,0.9960069930043736,0.09621338844299317,0.0,0.0,0.0,0.0
0,9,0.09326343238353729,-0.1945922076702118,-1.2768216133117676,-2.134906053543091,0,-3,-3,-34,4,5.0,0.95494145154953,0.9955089895078715,0.0,0.0,0.0,0.0,0.09549414515495301
0,10,0.08306705206632614,-0.21227006614208221,-0.8226025700569153,-1.4774985313415527,0,-3,-2,-24,0,-5.0,0.9470936059951782,0.9950112350131176,0.10386993742585182,0.0,0.0,0.14055623793342462,0.09636712074279785
0,11,0.07303187251091003,-0.23001384735107422,-1.1374517679214478,-1.9843778610229492,0,-4,-2,-32,0,-5.0,0.936183750629425,0.9945137293956111,0.1768963462114334,0.0,0.0,0.0,0.0
0,12,0.059992268681526184,-0.2526187002658844,-1.4271862506866455,-2.4542324542999268,0,-4,-3,-39,3,2.5,0.9243130683898926,0.9940164725309134,0.0,0.0,0.09114938378334046,0.1017099268257618,0.0
0,13,0.0472836047410965,-0.2751126289367676,-1.1500836610794067,-2.079141616821289,0,-4,-2,-33,2,0.0,0.9126086831092834,0.993519464294648,0.0,0.0,0.1756119590997696,0.0,0.0
0,14,0.03618292883038521,-0.29562023282051086,-1.0765984058380127,-2.0117506980895996,0,-5,-2,-32,1,-2.5,0.899486243724823,0.9930227045625007,0.0,0.0899486243724823,0.0,0.0,0.08934510350227357
0,15,0.024760153144598007,-0.31703904271125793,-1.1885589361190796,-2.221367120742798,0,-5,-2,-36,3,2.5,0.886073112487793,0.9925261932102195,0.0,0.0,0.0,0.0886073112487793,0.09928163806200029
0,16,0.014292719773948193,-0.33753064274787903,-0.9360460638999939,-1.8993881940841675,0,-5,-2,-30,3,2.5,0.8739602565765381,0.9920299301136144,0.0,0.08988550305366516,0.0,0.08739602565765381,0.0
0,17,0.006225198041647673,-0.3550206422805786,-0.7048446536064148,-1.6137670278549194,0,-6,-1,-26,1,-2.5,0.8610671758651733,0.9915339151485576,0.0,0.08610671758651733,0.0,0.0,0.0
0,18,-0.0016412226250395179,-0.37273699045181274,-0.8441060185432434,-1.8679797649383545,0,-6,-2,-30,0,-5.0,0.8444970846176147,0.9910381481909833,0.08444970846176147,0.0,0.0,0.0,0.0
0,19,-0.011828229762613773,-0.3943386971950531,-1.1466504335403442,-2.35756778717041,0,-6,-2,-38,2,0.0,0.8254249095916748,0.990542629116888,-0.14028829455375674,0.0,0.06091021497249604,0.0,0.0
1,20,-0.02292194776237011,-0.4178217947483063,-1.0775892734527588,-2.3180699348449707,0,-7,-2,-37,2,0.0,-2.1944713592529297,0.9900473578023296,0.0,0.0,-0.4161041903495789,0.0,0.0
1,21,0.032507434487342834,-0.08922410756349564,0.010517552495002747,0.087800532579422,0,-1,0,1,4,5.0,0.992734432220459,0.9895523341234285,0.36579547826911396,0.5396023355030971,0.23534475117196196,0.30023330426518713,0.47376768134465264
1,22,0.034699782729148865,-0.08523847162723541,0.37904050946235657,0.6409045457839966,0,-1,1,10,4,5.0,0.9942314624786377,0.9890575579563669,0.4346775131903642,0.33662328108406575,0.525335167751262,0.09942658543586731,0.2866906586761475
1,23,0.04042426869273186,-0.07595093548297882,0.7205772399902344,1.1534926891326904,0,-1,1,18,2,0.0,0.9957728981971741,0.9885630291773887,0.0,0.0,0.10943916436433793,0.0,0.0
1,24,0.04729555547237396,-0.06501602381467819,0.6630617380142212,1.053743600845337,0,-1,1,17,4,5.0,0.9973229765892029,0.9880687476628001,0.0,0.0,0.2005727072518289,0.09993388652801515,0.1893857026100159
1,25,0.05575154721736908,-0.05173973739147186,0.985090970993042,1.540244460105896,0,-1,2,25,3,2.5,0.9987450838088989,0.9875747132889687,0.0,0.12740794039083123,0.0,0.11074700752936602,0.0
1,26,0.06623174250125885,-0.03542463108897209,1.0965558290481567,1.7046289443969727,0,-1,2,27,1,-2.5,0.9995672106742859,0.9870809259323243,0.10976519871950151,0.2086812239277363,0.0,0.0,0.09945335984230042
1,27,0.07565014809370041,-0.020803725346922874,0.8251490592956543,1.2809783220291138,0,0,2,20,3,2.5,0.9999520778656006,0.9865873854693582,0.14260118842285957,0.2177196079546273,0.09999510645866394,0.19974091542959213,0.34375875211954116
