episode,step,ep_length,cart_pos,pole_angle,cart_vel,pole_vel,cart_pos_dis,pole_angle_dis,cart_vel_dis,pole_vel_dis,action_idx,action_val,reward,epsilon,q_0,q_1,q_2,q_3,q_4
14,19,20,0.21502646803855896,0.41555535793304443,0.8952205181121826,1.9969698190689087,0,3,1,16,2,0.0,15.670187830924988,0.9811700348643991,0.0,0.0,-0.21897711753845217,-0.18099596705164195,0.12797236169492315
15,19,20,-0.017524147406220436,-0.4000466763973236,-0.9506463408470154,-2.1127023696899414,0,-3,-1,-17,0,-5.0,15.568210005760193,0.9811700348643991,-0.41475558757781983,-0.2518234599351883,0.0,0.0,0.044448502023363125
16,19,20,-0.1670890897512436,-0.40896445512771606,-0.7798070907592773,-1.9160414934158325,0,-3,-1,-15,2,0.0,15.395431876182556,0.9811700348643991,-0.13406032800674436,-0.012301392774804909,-0.2164592960633326,0.0,0.0
17,20,21,0.034176044166088104,-0.40895190834999084,-1.112391710281372,-2.3450849056243896,0,-3,-1,-19,4,5.0,16.625003397464752,0.9801888648295347,0.0,-0.5228911273741723,-0.13299378013610838,0.0,-0.2184541463851929
18,20,21,-0.04379144683480263,0.41026294231414795,0.8895331621170044,2.0845377445220947,0,3,1,17,0,-5.0,16.338224172592163,0.9801888648295347,-0.28192149838919645,0.0,0.0,-0.21877963542938234,0.03883410085060597
19,20,21,-0.14843423664569855,-0.4114210307598114,-0.4183368384838104,-1.460328459739685,0,-3,0,-12,1,-2.5,16.18850600719452,0.9801888648295347,0.0,-0.21830079555511475,0.0,0.0,0.0
20,20,21,0.02470676228404045,0.3997025191783905,1.1307578086853027,2.4579508304595947,0,3,1,20,0,-5.0,16.26493728160858,0.9801888648295347,-0.3384089739561081,0.0,0.0,-0.13407477450370792,0.0
21,20,21,0.023545917123556137,-0.41240936517715454,0.08078556507825851,-0.7652844190597534,0,-3,0,-6,1,-2.5,16.119365751743317,0.9801888648295347,0.38339189882159497,-0.21781954765319825,0.0,0.0,0.0
22,21,22,0.2583125829696655,0.4149895906448364,0.7742435932159424,2.03555965423584,0,3,1,16,2,0.0,16.927525579929352,0.9792086759647052,0.0,0.0,-0.4160464143753052,-0.18099596705164195,-0.016382110669179745
23,21,22,0.26460567116737366,0.3949126899242401,0.9299202561378479,2.1559174060821533,0,3,1,17,4,5.0,17.43408292531967,0.9792086759647052,-0.28192149838919645,0.0,0.0,-0.21877963542938234,-0.18263186882002597
24,21,22,0.13629433512687683,0.3993642032146454,0.7805269360542297,1.9838591814041138,0,3,1,16,3,2.5,17.20988965034485,0.9792086759647052,0.0,0.04232883803122046,-0.24227051664749957,-0.3805986875843318,-0.016382110669179745
25,21,22,0.13631314039230347,0.4063319265842438,0.4360591471195221,1.5639992952346802,0,3,0,13,0,-5.0,16.917016565799713,0.9792086759647052,-0.21760265827178957,0.0,0.0,0.0,0.0
26,21,22,0.02668195590376854,-0.4097408354282379,-0.6046047210693359,-1.680785894393921,0,-3,-1,-13,1,-2.5,17.446541607379913,0.9792086759647052,-0.043498132004737844,-0.10097206279978416,0.2501611094472947,0.0,-0.16795660354852676
