episode,step,ep_length,cart_pos,pole_angle,cart_vel,pole_vel,cart_pos_dis,pole_angle_dis,cart_vel_dis,pole_vel_dis,action_idx,action_val,reward,epsilon,q_0,q_1,q_2,q_3,q_4
70,30,31,-0.06566333770751953,-0.41686904430389404,-0.5960400700569153,-1.938313603401184,0,-3,-1,-16,0,-5.0,25.948663771152496,0.9970043459427393,-0.2112756832848877,0.09536836244590802,-0.21868486404418946,0.10410181878253447,0.17616976922631267
71,30,31,0.0032322024926543236,0.416823148727417,-0.7639177441596985,0.5111081600189209,0,3,-1,4,2,0.0,23.97753006219864,0.9970043459427393,0.0,0.0,-0.21789338588714602,0.09559278572797776,0.0
72,30,31,-0.12384577095508575,-0.4068417251110077,-0.9749159812927246,-2.5138156414031982,0,-3,-1,-20,2,0.0,25.906317055225372,0.9970043459427393,0.0,0.0841910719871521,-0.00280740018248557,-0.21851842403411867,-0.029901867830753326
73,30,31,0.03752175718545914,-0.3998366594314575,-1.100318193435669,-2.619690418243408,0,-3,-1,-21,2,0.0,26.069491505622864,0.9970043459427393,0.16403381228446962,0.08577188253402711,-0.5914106147289276,0.0942269094870542,-0.21813752651214602
74,30,31,0.06667941063642502,0.4102768301963806,0.3981795012950897,1.6499043703079224,0,3,0,13,1,-2.5,26.084015727043152,0.9970043459427393,0.062204158592224126,-0.41451697349548344,0.08488064408302308,0.012048399484022282,-0.21873555183410645
75,30,31,-0.04758443310856819,0.41002416610717773,-0.01715264841914177,1.0377453565597534,0,3,0,8,4,5.0,25.95084911584854,0.9970043459427393,0.23675715637207034,0.11315756087981046,0.6762400992030048,0.43071453142152866,-0.15372525340775256
76,31,32,0.1713661253452301,0.41728997230529785,0.48967787623405457,2.179819107055664,0,3,0,17,2,0.0,25.550403892993927,0.9969046455081451,0.0,0.0,-0.2193077802658081,0.0,0.0
77,31,32,-0.0747595727443695,-0.41790932416915894,-1.641225814819336,-3.1806838512420654,0,-3,-2,-25,3,2.5,27.604177594184875,0.9969046455081451,0.0,0.0,0.0,-0.22006633281707766,0.0
78,31,32,-0.16931770741939545,-0.39739659428596497,-0.8810111284255981,-2.186776638031006,0,-3,-1,-17,0,-5.0,27.523714184761047,0.9969046455081451,0.0011272707775998037,0.07529602163647446,0.23519039373743555,-0.049466461900110836,0.16238599847280877
79,31,32,-0.015276181511580944,0.4167904555797577,-0.07888957113027573,1.0880546569824219,0,3,0,9,0,-5.0,26.48217910528183,0.9969046455081451,0.16507209831781777,0.31620992226847705,-0.21796135902404787,0.24607787950038912,0.3283899567717513
80,31,32,-0.05093235522508621,0.4001808166503906,1.0579057931900024,2.5445475578308105,0,3,1,20,2,0.0,27.13786906003952,0.9969046455081451,-0.21898488998413088,-0.13910250186920167,-0.1333161587691307,0.08480746746063234,0.2084794010639191
81,31,32,0.18315522372722626,0.4041576385498047,0.5257298946380615,1.9302194118499756,0,3,1,15,1,-2.5,26.548465490341187,0.9969046455081451,0.0006334081271327785,0.15836002743140953,0.09537129400406012,0.11613968247663942,0.32060836461329556
82,31,32,-0.07806053757667542,-0.4035768210887909,-1.096909761428833,-2.55087947845459,0,-3,-1,-20,1,-2.5,27.312710404396057,0.9969046455081451,0.0,-0.1427536118030548,-0.00280740018248557,-0.21851842403411867,-0.029901867830753326
83,31,32,-0.19941872358322144,-0.4068906605243683,-0.026355337351560593,-1.0655680894851685,0,-3,0,-9,1,-2.5,27.19866108894348,0.9969046455081451,0.2413725134096742,0.06772429475636532,0.44776267103815365,-0.053160323648512336,0.5348158872886555
84,31,32,-0.13894596695899963,-0.4121566712856293,-0.5162222981452942,-1.7156994342803955,0,-3,-1,-14,3,2.5,27.193189680576324,0.9969046455081451,0.13098723382510258,0.3407326493925909,0.3076867340224982,0.0205122454411506,0.08519909977912904
85,32,33,0.028546713292598724,0.41149595379829407,0.017902910709381104,1.2927111387252808,0,3,0,10,1,-2.5,27.380036890506744,0.9968049550435942,0.25165704101539643,0.04680853942926852,-0.05619591284427805,0.31084765149028304,0.17179496697008612
86,32,33,-0.18601328134536743,-0.41704046726226807,0.37792912125587463,-0.9594950079917908,0,-3,0,-8,2,0.0,26.452952682971954,0.9968049550435942,0.0,0.22704444283346314,0.10707210502353376,0.3951466042721501,0.5657525617363737
87,32,33,0.0886603519320488,-0.40754178166389465,-0.8067658543586731,-2.333155632019043,0,-3,-1,-19,1,-2.5,27.62431710958481,0.9968049550435942,0.23642691017091277,-0.1397418385744095,0.17116522527640432,0.08210975918543606,0.09085091262935191
88,32,33,0.08845105022192001,0.3997073769569397,0.7708987593650818,2.0824880599975586,0,3,1,17,4,5.0,28.277382969856262,0.9968049550435942,0.0937469654138503,-0.09085400073056352,0.2476801751582291,0.09262975714102449,-0.3363545719988346
89,32,33,0.24034146964550018,0.4151359796524048,-0.008077201433479786,1.2637696266174316,0,3,0,10,1,-2.5,27.400852918624878,0.9968049550435942,0.25165704101539643,-0.17610742575023058,-0.05619591284427805,0.39994927964172916,0.17179496697008612
90,33,34,0.1351906657218933,0.4135250747203827,0.7050043940544128,2.1325180530548096,0,3,1,17,4,5.0,28.966556191444397,0.9967052745480899,0.0937469654138503,-0.09085400073056352,0.2476801751582291,0.09262975714102449,-0.5218866334146739
91,33,34,-0.096007339656353,0.41595375537872314,0.8203698396682739,2.296985149383545,0,3,1,18,1,-2.5,29.095324099063873,0.9967052745480899,0.17014809185862545,-0.10806475764175746,0.0,0.09284277992248535,0.17288978143930436
92,33,34,0.04513421654701233,-0.4115234911441803,0.15936797857284546,-0.9974198341369629,0,-3,0,-8,0,-5.0,28.554676473140717,0.9967052745480899,-0.21806161403656008,0.22704444283346314,0.22058074375519504,0.3951466042721501,0.6453450952295772
93,33,34,0.026762772351503372,-0.4022793173789978,-0.5586206912994385,-2.0413076877593994,0,-3,-1,-16,2,0.0,28.591975808143616,0.9967052745480899,-0.015839509808701385,0.15761646330051593,-0.3390735959482193,0.10410181878253447,0.2539239109088183
94,33,34,-0.19587546586990356,-0.4073646366596222,-0.7693921327590942,-2.1970317363739014,0,-3,-1,-18,3,2.5,29.13550966978073,0.9967052745480899,0.0965238890378968,-0.07562931116089465,-0.0008755577485221044,0.0353589437872871,0.40115967978457084
95,33,34,0.05956661328673363,-0.4119968116283417,-0.16779622435569763,-1.3521618843078613,0,-3,0,-11,1,-2.5,28.935075759887695,0.9967052745480899,0.36372916550209594,-0.0515040660314563,0.24343610127319248,0.19393352694724322,0.2780305233348839
96,34,35,-0.09083038568496704,0.40255069732666016,0.7051090002059937,2.088667392730713,0,3,1,17,3,2.5,30.195345401763916,0.9966056040206351,0.0937469654138503,-0.09085400073056352,0.3158778007452111,-0.1346968591675604,-0.5218866334146739
97,34,35,0.18132875859737396,0.4081036150455475,0.3265475034713745,1.515008807182312,0,3,0,12,0,-5.0,30.096652388572693,0.9966056040206351,0.28240805739420055,0.3648625834104988,0.26055631993575934,0.2854983563548128,0.0
98,34,35,-0.45390182733535767,-0.39656874537467957,-0.9935394525527954,-2.3055968284606934,0,-3,-1,-18,1,-2.5,30.043563544750214,0.9966056040206351,0.0965238890378968,-0.28579246761499566,-0.0008755577485221044,0.0353589437872871,0.40115967978457084
99,34,35,-0.07848669588565826,0.4154554009437561,0.0038187019526958466,1.094697117805481,0,3,0,9,4,5.0,30.02901667356491,0.9966056040206351,0.16507209831781777,0.3927993347932225,-0.08427579859307832,0.24607787950038912,0.13998876451335251
100,34,35,-0.2988490164279938,-0.40450504422187805,-0.2720014154911041,-1.5993958711624146,0,-3,0,-13,0,-5.0,29.697945833206177,0.9966056040206351,-0.04251322103502286,0.0,0.0,-0.2181684970855713,0.13920623925126013
101,35,36,-0.21824748814105988,-0.41746750473976135,-0.2202458381652832,-1.5941104888916016,0,-3,0,-13,3,2.5,30.501537024974823,0.9965059434602331,-0.04251322103502286,0.0,0.0,-0.4150597095489502,0.13920623925126013
102,35,36,-0.13073764741420746,0.4135160744190216,-0.014134688302874565,1.162938117980957,0,3,0,9,1,-2.5,30.80588471889496,0.9965059434602331,0.16507209831781777,0.13550780749523567,-0.08427579859307832,0.24607787950038912,0.13998876451335251
103,35,36,-0.08320502191781998,-0.4048393666744232,0.12136051058769226,-1.1765308380126953,0,-3,0,-9,0,-5.0,30.228116989135742,0.9965059434602331,-0.0004111698542058062,0.06772429475636532,0.44776267103815365,0.07381941130507569,0.6741656519113931
