update_step,actor_loss,critic_loss,entropy
273,,0.36522728204727173,
274,-1.5039353370666504,0.10997084528207779,
275,,0.14794646203517914,
276,-1.5334975719451904,0.29269710183143616,
277,,0.4532008171081543,
278,-1.5244052410125732,0.2781878113746643,
279,,0.20013149082660675,
280,-1.5386853218078613,0.4330218732357025,
281,,0.3428008258342743,
282,-1.4952163696289062,0.6213939189910889,
283,,0.16123056411743164,
284,-1.5029098987579346,0.5523021221160889,
285,,0.6649750471115112,
286,-1.4864128828048706,0.23345811665058136,
287,,0.3210693597793579,
288,-1.4762771129608154,0.38030141592025757,
289,,0.4356955289840698,
290,-1.4884803295135498,0.5530100464820862,
291,,0.5471395254135132,
292,-1.508076786994934,0.3732791543006897,
293,,0.374969482421875,
294,-1.5326132774353027,0.6149008274078369,
295,,0.21150337159633636,
296,-1.5587128400802612,0.3674479126930237,
297,,0.35091477632522583,
298,-1.5783358812332153,0.2506237030029297,
299,,0.5216451287269592,
300,-1.5754601955413818,0.5206249952316284,
301,,0.4205232262611389,
302,-1.5669286251068115,0.3116116523742676,
303,,0.15215641260147095,
304,-1.571107029914856,0.5023406744003296,
305,,0.2778109312057495,
306,-1.5950357913970947,0.41047579050064087,
307,,0.4048500061035156,
308,-1.612351655960083,0.41951435804367065,
309,,0.3846167325973511,
310,-1.5922125577926636,0.5912644267082214,
311,,0.3121625781059265,
312,-1.5873241424560547,0.40693655610084534,
313,,0.40195220708847046,
314,-1.596832036972046,0.2724955081939697,
315,,0.37890180945396423,
316,-1.5863511562347412,0.37034010887145996,
317,,0.3090113699436188,
318,-1.593315601348877,0.3042325973510742,
319,,0.7595981359481812,
320,-1.5896433591842651,0.315487802028656,
321,,0.5745464563369751,
322,-1.6133472919464111,0.04960792511701584,
323,,0.3682045340538025,
324,-1.6241059303283691,0.14424636960029602,
325,,0.465888649225235,
326,-1.6554739475250244,0.2647114098072052,
327,,0.2907567024230957,
328,-1.6471774578094482,0.34604108333587646,
329,,0.44397008419036865,
330,-1.6351473331451416,0.7796653509140015,
331,,0.3223380446434021,
332,-1.5979151725769043,0.43201911449432373,
333,,0.2848212718963623,
334,-1.595915675163269,0.4617699384689331,
335,,0.2950558066368103,
336,-1.608835220336914,0.2365254908800125,
337,,0.2666388750076294,
338,-1.6354036331176758,0.41988834738731384,
339,,0.2181340456008911,
340,-1.6681933403015137,0.5867245197296143,
341,,0.3203880786895752,
342,-1.6926634311676025,0.050343647599220276,
343,,0.2900516390800476,
344,-1.6695201396942139,0.2905595004558563,
345,,0.647096574306488,
346,-1.6493556499481201,0.38480597734451294,
347,,0.3121229410171509,
348,-1.6428579092025757,0.11767920851707458,
349,,0.4052356779575348,
350,-1.6227816343307495,0.5591670274734497,
351,,0.38298651576042175,
352,-1.6223233938217163,0.4575042128562927,
353,,0.5011366605758667,
354,-1.6189712285995483,0.35921019315719604,
355,,0.3594099283218384,
356,-1.6196799278259277,0.482852041721344,
357,,0.5201579928398132,
358,-1.6417346000671387,0.20437797904014587,
359,,0.621559739112854,
360,-1.645240068435669,0.24962753057479858,
361,,0.5717216730117798,
362,-1.6905053853988647,0.24076569080352783,
363,,0.6191557049751282,
