episode,ep_return,ep_length
0,999.4505004882812,1000
1,999.853271484375,1000
2,999.7833251953125,1000
3,999.2188110351562,1000
4,999.4745483398438,1000
5,999.5560913085938,1000
6,999.89013671875,1000
7,999.262939453125,1000
8,999.1795654296875,1000
9,999.7372436523438,1000
10,999.0850830078125,1000
11,999.768310546875,1000
12,999.375,1000
13,999.9781494140625,1000
14,999.3363647460938,1000
15,999.6906127929688,1000
16,999.1952514648438,1000
17,999.8677368164062,1000
18,999.9334106445312,1000
19,999.2537231445312,1000
20,999.83935546875,1000
21,999.2850952148438,1000
22,999.033203125,1000
23,999.76708984375,1000
24,999.6373901367188,1000
25,999.9217529296875,1000
26,999.0333251953125,1000
27,999.9436645507812,1000
28,999.1976318359375,1000
29,999.089599609375,1000
30,999.1962890625,1000
31,999.8185424804688,1000
32,999.2774658203125,1000
33,999.9512329101562,1000
34,999.70263671875,1000
35,999.98291015625,1000
36,999.5310668945312,1000
37,999.7369995117188,1000
38,999.6760864257812,1000
39,999.7373657226562,1000
40,999.5213012695312,1000
41,999.3980102539062,1000
42,998.7658081054688,1000
43,999.7694702148438,1000
44,999.884521484375,1000
45,999.3853149414062,1000
46,999.9130859375,1000
47,999.9361572265625,1000
48,998.9075317382812,1000
49,998.7059936523438,1000
50,998.45263671875,1000
51,999.630615234375,1000
52,999.8937377929688,1000
53,999.9947509765625,1000
54,999.5814208984375,1000
55,999.61181640625,1000
56,999.5327758789062,1000
57,999.0247802734375,1000
58,999.8231201171875,1000
59,999.7540283203125,1000
60,999.0538940429688,1000
61,999.9334716796875,1000
62,999.9617309570312,1000
63,999.8047485351562,1000
64,999.6184692382812,1000
65,999.7167358398438,1000
66,999.3917846679688,1000
67,999.1943359375,1000
68,999.8727416992188,1000
69,999.8599853515625,1000
70,999.6753540039062,1000
71,999.385009765625,1000
72,999.0394287109375,1000
73,999.5650634765625,1000
74,999.4923095703125,1000
75,999.7260131835938,1000
76,999.903564453125,1000
77,999.423095703125,1000
78,999.861572265625,1000
79,999.397705078125,1000
80,999.9125366210938,1000
81,999.8927001953125,1000
82,999.9041137695312,1000
83,999.2877807617188,1000
84,999.6365356445312,1000
85,999.3444213867188,1000
86,999.705810546875,1000
87,999.5673828125,1000
88,999.1022338867188,1000
89,999.625244140625,1000
90,999.485595703125,1000
91,999.3710327148438,1000
92,999.50927734375,1000
93,998.7188720703125,1000
94,999.9904174804688,1000
95,999.9260864257812,1000
96,999.822509765625,1000
97,998.955078125,1000
98,999.2866821289062,1000
99,999.3600463867188,1000
