episode,step,cart_pos,pole_angle,cart_vel,pole_vel,cart_pos_dis,pole_angle_dis,cart_vel_dis,pole_vel_dis,action_idx,action_val,reward,epsilon,q_0,q_1,q_2,q_3,q_4
0,0,0.13649877905845642,-0.12030722945928574,0.0,-0.0,0,-1,0,0,4,5.0,0.9862480759620667,1.0,0.0,0.0,0.0,0.0,0.09862480759620668
0,1,0.13857078552246094,-0.11726848781108856,0.3664134740829468,0.5433162450790405,0,-1,0,4,1,-2.5,0.9870264530181885,0.999,0.0,0.09870264530181885,0.0,0.0,0.0
0,2,0.14097359776496887,-0.1139012798666954,0.14674746990203857,0.1889667958021164,0,-1,0,2,0,-5.0,0.986646294593811,0.998001,0.530385254555163,0.4659744411464951,0.28147685459381583,0.29941508854711063,0.2666062643527985
0,3,0.14021244645118713,-0.11555804312229156,-0.24298229813575745,-0.4258378744125366,0,-1,0,-3,0,-5.0,0.9848439693450928,0.997002999,0.41166333861112603,0.3346632103294388,0.46511128437729565,0.2934293484665626,0.6226317326810891
0,4,0.13571995496749878,-0.12310981005430222,-0.6035071611404419,-0.9960522651672363,0,-1,-1,-8,1,-2.5,0.9819068312644958,0.996005996001,0.0,0.09819068312644959,0.0,0.0,0.0
0,5,0.12883591651916504,-0.1345108300447464,-0.7506916522979736,-1.2402660846710205,0,-1,-1,-10,1,-2.5,0.9780157804489136,0.995009990004999,0.0,0.09780157804489137,0.0,0.0,0.0
0,6,0.12054156512022018,-0.14827093482017517,-0.8869653940200806,-1.4692102670669556,0,-1,-1,-12,0,-5.0,0.9724919199943542,0.994014980014994,0.09724919199943544,0.0,0.10673161942362785,0.11736828737556936,0.0
0,7,0.10988704860210419,-0.1658557504415512,-1.1984204053878784,-1.9670852422714233,0,-1,-1,-16,2,0.0,0.9657667875289917,0.993020965034979,0.0969484567642212,0.0,0.20344773545503617,0.0,0.09915011525154115
0,8,0.0983586236834526,-0.185022234916687,-1.1162139177322388,-1.867509126663208,0,-1,-1,-15,2,0.0,0.9586763978004456,0.9920279440699441,0.09777759909629823,0.0,0.26248075389862063,0.09600828886032105,0.0
0,9,0.08760914206504822,-0.20328204333782196,-1.0412715673446655,-1.782205581665039,0,-2,-1,-14,1,-2.5,0.9505617022514343,0.9910359161258742,0.09504746198654175,0.09505617022514344,0.0,0.0,0.0
0,10,0.07652638852596283,-0.2223471850156784,-1.1562891006469727,-1.9868968725204468,0,-2,-1,-16,0,-5.0,0.9399930238723755,0.9900448802097482,0.09399930238723755,0.0,0.19761491056725383,0.09337221384048462,0.0
0,11,0.06330514699220657,-0.24496309459209442,-1.4449266195297241,-2.454758405685425,0,-2,-1,-20,0,-5.0,0.9259809255599976,0.9890548353295385,0.09259809255599977,0.0,0.0,0.0,0.0
0,12,0.04733433201909065,-0.27206432819366455,-1.7098366022109985,-2.888072967529297,0,-2,-2,-23,1,-2.5,0.9089192152023315,0.988065780494209,0.0,0.09089192152023316,0.0,0.0,0.0
0,13,0.0298700463026762,-0.3017958700656891,-1.7722262144088745,-3.0219826698303223,0,-2,-2,-24,4,5.0,0.8921765089035034,0.9870777147137147,0.0,0.0,0.0,0.0,0.08921765089035034
0,14,0.014859016053378582,-0.32836484909057617,-1.2942023277282715,-2.3647420406341553,0,-3,-1,-19,0,-5.0,0.8742148876190186,0.986090636999001,0.08742148876190187,0.0,0.0,0.0,0.0
0,15,0.0003534501593094319,-0.3546619117259979,-1.5657427310943604,-2.8099706172943115,0,-3,-2,-22,1,-2.5,0.8527171015739441,0.9851045463620021,0.0,0.08527171015739442,0.0,0.0,0.09458142521977425
0,16,-0.01573057845234871,-0.38377460837364197,-1.6382609605789185,-2.967851400375366,0,-3,-2,-24,2,0.0,0.8294119834899902,0.98411944181564,0.0,0.0,0.08294119834899903,0.0,0.08496785163879395
1,17,-0.03151307627558708,-0.4130229651927948,-1.5307000875473022,-2.871694803237915,0,-3,-2,-23,3,2.5,-2.193643808364868,0.9831353223738244,0.0,0.08693666458129884,0.0,-0.21936438083648682,0.0
1,18,0.07592537999153137,0.11549180746078491,-0.07202136516571045,0.023946672677993774,0,1,0,0,0,-5.0,0.9872925281524658,0.9821521870514506,1.3493219100011395,1.4537131382489703,1.678416292084603,1.3322118297700736,1.4395848201425303
1,19,0.07316058874130249,0.11272738873958588,-0.4335229992866516,-0.512872040271759,0,1,0,-4,3,2.5,0.9879652857780457,0.9811700348643991,0.8760998592430237,0.5327281370623989,0.6051650453085253,1.1251223010667688,0.4355370078099848
1,20,0.07011421024799347,0.10970275849103928,-0.20894579589366913,-0.15149344503879547,0,1,0,-1,0,-5.0,0.9889206886291504,0.9801888648295347,1.0703550701893316,1.05180250019164,1.151726991240378,0.5488821659542449,1.0320055765368474
