episode,ep_return,ep_length,global_step,epsilon
87,33.33485794067383,39,9984,0.0
88,33.73004150390625,39,9984,0.0
89,35.141624450683594,40,10240,0.0
90,34.95177459716797,40,10240,0.0
91,34.880699157714844,40,10240,0.0
92,35.342926025390625,41,10496,0.0
93,36.248321533203125,41,10496,0.0
94,35.9754638671875,41,10496,0.0
95,36.98915100097656,42,10752,0.0
96,37.06424331665039,42,10752,0.0
97,38.034637451171875,43,11008,0.0
98,37.16701126098633,43,11008,0.0
99,37.89430236816406,43,11008,0.0
100,38.06398010253906,43,11008,0.0
101,37.471710205078125,44,11264,0.0
102,38.918460845947266,44,11264,0.0
103,39.193992614746094,44,11264,0.0
104,38.73991775512695,44,11264,0.0
105,39.8977165222168,45,11520,0.0
106,40.08084487915039,45,11520,0.0
107,40.06438064575195,45,11520,0.0
108,39.44050598144531,45,11520,0.0
109,38.73344802856445,45,11520,0.0
110,17.107505798339844,22,11776,0.0
111,40.151329040527344,46,11776,0.0
112,40.16765594482422,46,11776,0.0
113,40.56252670288086,46,11776,0.0
114,40.02666091918945,46,11776,0.0
115,40.473480224609375,46,11776,0.0
116,41.19937515258789,46,11776,0.0
117,41.2028694152832,47,12032,0.0
118,42.097434997558594,47,12032,0.0
119,41.862369537353516,48,12288,0.0
120,42.7256965637207,48,12288,0.0
121,42.839351654052734,48,12288,0.0
122,41.73550796508789,48,12288,0.0
123,43.06836700439453,48,12288,0.0
124,41.084407806396484,48,12288,0.0
125,42.426841735839844,48,12288,0.0
126,42.27902603149414,48,12288,0.0
127,41.490211486816406,48,12288,0.0
128,43.097023010253906,48,12288,0.0
129,43.238136291503906,49,12544,0.0
130,42.60324478149414,49,12544,0.0
131,44.098419189453125,49,12544,0.0
132,43.692562103271484,50,12800,0.0
133,20.641584396362305,26,12800,0.0
134,43.95548629760742,50,12800,0.0
135,44.19629669189453,50,12800,0.0
136,44.82732391357422,50,12800,0.0
137,43.52703857421875,50,12800,0.0
138,44.54121780395508,50,12800,0.0
139,45.82820129394531,51,13056,0.0
140,46.005645751953125,51,13056,0.0
141,45.1490478515625,51,13056,0.0
