episode,ep_return,ep_length
0,999.0132446289062,1000
1,999.9320068359375,1000
2,998.8657836914062,1000
3,999.4122924804688,1000
4,999.427978515625,1000
5,999.4568481445312,1000
6,999.8140258789062,1000
7,999.3807373046875,1000
8,999.70654296875,1000
9,999.006591796875,1000
10,999.7266235351562,1000
11,999.9141235351562,1000
12,999.2166748046875,1000
13,999.9658203125,1000
14,999.2410888671875,1000
15,999.5902099609375,1000
16,999.957275390625,1000
17,999.869140625,1000
18,999.9232177734375,1000
19,999.8218383789062,1000
20,999.642578125,1000
21,999.964111328125,1000
22,999.7244873046875,1000
23,999.7595825195312,1000
24,999.2015380859375,1000
25,999.42236328125,1000
26,999.83740234375,1000
27,998.8509521484375,1000
28,999.4478759765625,1000
29,999.808349609375,1000
30,999.9517822265625,1000
31,999.725341796875,1000
32,999.2887573242188,1000
33,999.6859130859375,1000
34,999.88330078125,1000
35,999.7311401367188,1000
36,999.6796264648438,1000
37,998.8372192382812,1000
38,999.441162109375,1000
39,999.7255859375,1000
40,999.88427734375,1000
41,999.053466796875,1000
42,999.9149169921875,1000
43,999.2385864257812,1000
44,999.8678588867188,1000
45,999.6604614257812,1000
46,999.9241943359375,1000
47,999.4786376953125,1000
48,999.50732421875,1000
49,999.5230712890625,1000
50,999.2822875976562,1000
51,999.9898071289062,1000
52,999.504150390625,1000
53,999.7583618164062,1000
54,999.5020141601562,1000
55,999.3790893554688,1000
56,999.6551513671875,1000
57,999.1281127929688,1000
58,999.3773193359375,1000
59,999.62451171875,1000
60,999.3921508789062,1000
61,999.3755493164062,1000
62,999.7728881835938,1000
63,999.0531005859375,1000
64,999.3081665039062,1000
65,999.0451049804688,1000
66,999.949951171875,1000
67,999.790283203125,1000
68,999.6799926757812,1000
69,999.5864868164062,1000
70,998.9083862304688,1000
71,999.2763061523438,1000
72,999.924560546875,1000
73,999.7865600585938,1000
74,999.2778930664062,1000
75,999.935546875,1000
76,999.3486938476562,1000
77,999.2794189453125,1000
78,999.4940185546875,1000
79,998.70263671875,1000
80,999.8070068359375,1000
81,999.3764038085938,1000
82,999.7325439453125,1000
83,999.5253295898438,1000
84,999.8829345703125,1000
85,999.990234375,1000
86,999.6134033203125,1000
87,999.197998046875,1000
88,999.80712890625,1000
89,999.9517822265625,1000
90,999.2039794921875,1000
91,999.272705078125,1000
92,999.7269897460938,1000
93,999.9110107421875,1000
94,999.0497436523438,1000
95,999.6954345703125,1000
96,999.9949951171875,1000
97,999.9378051757812,1000
98,999.6286010742188,1000
99,998.9037475585938,1000
