episode,ep_return,ep_length
15,11.574272155761719,16
38,11.664831161499023,16
59,11.47535228729248,16
69,11.537700653076172,16
94,11.525229454040527,16
98,11.574760437011719,16
5,12.436073303222656,17
58,12.540544509887695,17
67,12.548975944519043,17
10,13.571198463439941,18
63,13.544820785522461,18
20,14.535250663757324,19
21,14.753893852233887,19
22,14.637062072753906,19
51,14.59817123413086,19
54,14.523368835449219,19
48,15.741971969604492,20
99,15.515734672546387,20
26,16.7089786529541,21
43,16.789440155029297,21
52,16.526424407958984,21
66,16.5459041595459,21
28,17.48567008972168,22
50,17.701580047607422,22
62,17.505826950073242,22
68,17.702289581298828,22
79,17.529693603515625,22
0,18.74640655517578,23
1,18.85127067565918,23
12,18.67412567138672,23
13,18.759830474853516,23
34,18.426929473876953,23
70,18.688861846923828,23
76,18.731914520263672,23
93,18.684982299804688,23
84,19.55304718017578,24
56,20.638036727905273,25
7,21.451318740844727,26
17,21.567956924438477,26
24,21.48307991027832,26
27,21.661848068237305,26
46,21.706783294677734,26
65,21.79334259033203,26
78,21.89359474182129,26
83,21.71310043334961,26
86,21.826377868652344,26
16,22.932863235473633,27
37,22.902576446533203,27
45,22.889934539794922,27
60,22.80424690246582,27
64,22.903629302978516,27
95,22.707868576049805,27
2,23.737674713134766,28
14,23.605670928955078,28
81,23.659997940063477,28
3,24.785518646240234,29
4,24.804210662841797,29
41,24.822063446044922,29
42,24.715511322021484,29
73,24.66328239440918,29
80,24.697582244873047,29
82,24.61107635498047,29
89,24.848941802978516,29
91,24.759687423706055,29
97,24.82786750793457,29
11,25.73855972290039,30
23,25.80221939086914,30
32,25.804216384887695,30
35,25.84037208557129,30
71,25.79806137084961,30
30,26.807907104492188,31
33,26.78228187561035,31
47,26.794145584106445,31
87,26.712862014770508,31
92,26.653305053710938,31
49,27.706735610961914,32
53,27.764732360839844,32
55,27.743471145629883,32
61,27.7109375,32
74,27.663331985473633,32
88,27.756423950195312,32
90,27.801898956298828,32
9,28.60927391052246,33
25,28.631736755371094,33
77,28.74615478515625,33
18,29.65567970275879,34
19,29.54790496826172,34
36,29.609283447265625,34
85,29.594633102416992,34
96,29.593843460083008,34
44,30.57537841796875,35
72,30.656177520751953,35
75,30.558792114257812,35
6,31.429481506347656,36
8,31.528573989868164,36
40,31.574478149414062,36
31,32.5087776184082,37
39,32.602684020996094,37
29,33.503787994384766,38
57,35.31246566772461,40
