iteration,global_step,td_loss,grad_norm,q_mean,epsilon
0,10144,0.5622745752334595,0.5526730418205261,0.11668359488248825,0.9513087999997261
1,10176,0.5461425185203552,0.565382719039917,0.11704704910516739,0.9511551999997252
2,10912,0.5461814403533936,0.5473081469535828,0.16924774646759033,0.9476223999997053
3,11392,0.5330134034156799,0.5378356575965881,0.21343344449996948,0.9453183999996924
4,11424,0.504715085029602,0.5528813004493713,0.21204183995723724,0.9451647999996915
5,11904,0.4972037672996521,0.5447655320167542,0.25861310958862305,0.9428607999996785
6,11936,0.44971635937690735,0.6096318960189819,0.27055609226226807,0.9427071999996777
7,11968,0.4467419385910034,0.5841651558876038,0.24542449414730072,0.9425535999996768
8,12512,0.4459856152534485,0.6176918745040894,0.3358498811721802,0.9399423999996621
9,13792,0.31404006481170654,0.6592978239059448,0.5280572175979614,0.9337983999996275
10,14208,0.27512794733047485,0.691832959651947,0.6336708068847656,0.9318015999996163
11,14848,0.24595725536346436,0.6208841800689697,0.7293649911880493,0.928729599999599
12,16032,0.09776188433170319,0.5199375748634338,1.0257025957107544,0.9230463999995671
13,16064,0.18457671999931335,0.4237329363822937,1.0764342546463013,0.9228927999995662
14,16960,0.1296229064464569,0.36978879570961,1.1693475246429443,0.918591999999542
15,16992,0.10399286448955536,0.3757307827472687,1.2278177738189697,0.9184383999995411
16,17024,0.07649728655815125,0.34997180104255676,1.210139274597168,0.9182847999995403
17,17056,0.13406990468502045,0.4139857590198517,1.184053659439087,0.9181311999995394
18,17440,0.15382035076618195,0.40584424138069153,1.2456508874893188,0.916287999999529
19,17920,0.11854276061058044,0.32883402705192566,1.2661488056182861,0.9139839999995161
20,17952,0.0610477551817894,0.3239087462425232,1.265103816986084,0.9138303999995152
21,18432,0.08353453874588013,0.27470114827156067,1.335836410522461,0.9115263999995022
22,19040,0.08715815842151642,0.264491468667984,1.416001558303833,0.9086079999994858
23,19744,0.051239993423223495,0.27319958806037903,1.4904510974884033,0.9052287999994668
24,19776,0.10865180194377899,0.2626345753669739,1.4988055229187012,0.905075199999466
25,19808,0.02167500928044319,0.24754522740840912,1.5121324062347412,0.9049215999994651
26,19840,0.04541598632931709,0.22866618633270264,1.5348306894302368,0.9047679999994642
27,19872,0.05292955040931702,0.2366737425327301,1.5332425832748413,0.9046143999994634
28,19904,0.05187784880399704,0.2503116726875305,1.5217063426971436,0.9044607999994625
29,20704,0.10632874816656113,0.18164120614528656,1.643318772315979,0.9006207999994409
30,20736,0.07814526557922363,0.19376139342784882,1.6366031169891357,0.90046719999944
31,21216,0.06967078149318695,0.17203228175640106,1.7025182247161865,0.8981631999994271
32,21536,0.04293747991323471,0.19314810633659363,1.7528645992279053,0.8966271999994184
33,21856,0.13712258636951447,0.15570774674415588,1.7907674312591553,0.8950911999994098
34,21888,0.10557669401168823,0.15870371460914612,1.8414306640625,0.8949375999994089
35,21920,0.04953845590353012,0.2026561200618744,1.8019779920578003,0.894783999999408
36,21952,0.16300150752067566,0.22443458437919617,1.7723660469055176,0.8946303999994072
37,22624,0.19793353974819183,0.15107886493206024,1.919722080230713,0.891404799999389
38,23712,0.10264477133750916,0.15493887662887573,1.9996016025543213,0.8861823999993597
39,24064,0.10038979351520538,0.16602864861488342,2.034174680709839,0.8844927999993502
40,24096,0.13624367117881775,0.2196597456932068,2.0257139205932617,0.8843391999993493
41,24608,0.0443555973470211,0.2268521934747696,2.0841169357299805,0.8818815999993355
42,24960,0.07177960127592087,0.17117366194725037,2.133587598800659,0.880191999999326
43,24992,0.07251948118209839,0.16610273718833923,2.1382534503936768,0.8800383999993251
44,25024,0.0671277567744255,0.17084288597106934,2.148958206176758,0.8798847999993242
45,25056,0.10810846835374832,0.17868535220623016,2.1506028175354004,0.8797311999993234
46,25376,0.13299298286437988,0.13223378360271454,2.213669776916504,0.8781951999993147
47,25408,0.007074108812958002,0.1774635910987854,2.2131078243255615,0.8780415999993139
48,25984,0.03624516353011131,0.15923939645290375,2.2708401679992676,0.8752767999992983
49,26016,0.10712220519781113,0.17599202692508698,2.24426531791687,0.8751231999992974
50,26048,0.14050927758216858,0.1266273409128189,2.2635111808776855,0.8749695999992966
51,26080,0.04027719795703888,0.15530414879322052,2.279116153717041,0.8748159999992957
52,26560,0.1050507128238678,0.15986447036266327,2.3362231254577637,0.8725119999992828
53,28000,0.039500340819358826,0.16528302431106567,2.520857334136963,0.8655999999992439
54,28288,0.04019598662853241,0.13518297672271729,2.5716657638549805,0.8642175999992361
55,28960,0.11585795879364014,0.13618434965610504,2.6903927326202393,0.8609919999992179
56,29280,0.005228875204920769,0.2141018658876419,2.6452856063842773,0.8594559999992093
57,29312,0.040802471339702606,0.1770181804895401,2.680222272872925,0.8593023999992084
58,29344,0.11313408613204956,0.20897525548934937,2.7347865104675293,0.8591487999992076
59,29824,0.037756312638521194,0.17111125588417053,2.7512450218200684,0.8568447999991946
60,29856,0.07902241498231888,0.1760336309671402,2.714994430541992,0.8566911999991937
61,29888,0.21580155193805695,0.17624709010124207,2.7499122619628906,0.8565375999991929
62,29920,0.03692473843693733,0.14757129549980164,2.7404818534851074,0.856383999999192
63,29952,0.11561448872089386,0.15003852546215057,2.7642428874969482,0.8562303999991911
64,29984,0.042027849704027176,0.18769946694374084,2.7654361724853516,0.8560767999991903
65,30304,0.10525894165039062,0.1368272602558136,2.842639207839966,0.8545407999991816
66,30688,0.11541963368654251,0.12941817939281464,2.8777804374694824,0.8526975999991713
67,30720,0.11741963773965836,0.1670244187116623,2.9021217823028564,0.8525439999991704
68,30752,0.042665500193834305,0.1660870909690857,2.898519515991211,0.8523903999991695
69,30784,0.11057361960411072,0.1383277177810669,2.8934998512268066,0.8522367999991687
70,31232,0.07243508100509644,0.15389464795589447,2.948051929473877,0.8500863999991566
71,31840,0.1146869957447052,0.12384209781885147,3.0319628715515137,0.8471679999991402
72,31872,0.038686640560626984,0.15462617576122284,3.019745349884033,0.8470143999991393
73,31904,0.1517392098903656,0.14119404554367065,3.0580101013183594,0.8468607999991384
74,32320,0.1964939683675766,0.1297580748796463,3.1050100326538086,0.8448639999991272
75,32352,0.039873156696558,0.1257208287715912,3.0876834392547607,0.8447103999991263
76,32384,0.20752552151679993,0.1909702867269516,3.1231751441955566,0.8445567999991255
77,32416,0.08583986014127731,0.1429656594991684,3.1090774536132812,0.8444031999991246
78,32736,0.04238805174827576,0.15663373470306396,3.1631407737731934,0.842867199999116
79,32768,0.07811758667230606,0.14125502109527588,3.1521785259246826,0.8427135999991151
80,32800,0.04214156046509743,0.1433824747800827,3.1755754947662354,0.8425599999991142
81,32832,0.16590997576713562,0.16453754901885986,3.2257652282714844,0.8424063999991134
82,33184,0.04250519350171089,0.17492076754570007,3.1972665786743164,0.8407167999991039
83,33568,0.09077946096658707,0.13759316504001617,3.2807183265686035,0.8388735999990935
84,33600,0.11922379583120346,0.12211129814386368,3.2863974571228027,0.8387199999990926
85,33632,0.12073063850402832,0.1389508843421936,3.317089080810547,0.8385663999990918
86,33664,0.12349362671375275,0.11616695672273636,3.311876058578491,0.8384127999990909
87,33696,0.32298052310943604,0.2472413182258606,3.2929086685180664,0.83825919999909
88,34144,0.04017143324017525,0.16428127884864807,3.3390424251556396,0.836108799999078
89,34624,0.12744566798210144,0.14650580286979675,3.3908753395080566,0.833804799999065
90,35008,0.20802374184131622,0.13618046045303345,3.507110595703125,0.8319615999990546
91,35488,0.002762315794825554,0.16464069485664368,3.4820852279663086,0.8296575999990417
92,35968,0.16751626133918762,0.1478605568408966,3.6097187995910645,0.8273535999990287
93,36448,0.12709587812423706,0.13406893610954285,3.6314070224761963,0.8250495999990157
94,36832,0.137395977973938,0.1326613575220108,3.7421979904174805,0.8232063999990054
95,37024,0.002229259815067053,0.14536935091018677,3.7455146312713623,0.8222847999990002
96,37664,0.09580417722463608,0.16275697946548462,3.8307905197143555,0.8192127999989829
97,38496,0.08498599380254745,0.12460490316152573,3.972445011138916,0.8152191999989604
98,38528,0.08566440641880035,0.13784852623939514,3.9801855087280273,0.8150655999989596
99,38560,0.04955989494919777,0.1575450748205185,3.9853267669677734,0.8149119999989587
100,39136,0.0970887616276741,0.16405047476291656,4.01510763168335,0.8121471999989431
101,39168,0.17854654788970947,0.173258975148201,4.047921657562256,0.8119935999989423
102,40000,0.002176175592467189,0.14964914321899414,4.186701774597168,0.8079999999989198
103,40032,0.28361213207244873,0.17551231384277344,4.1928300857543945,0.8078463999989189
104,40064,0.18607324361801147,0.15156541764736176,4.17028284072876,0.8076927999989181
105,40096,0.09613629430532455,0.16730014979839325,4.166528224945068,0.8075391999989172
106,40128,0.050229452550411224,0.11995801329612732,4.1565046310424805,0.8073855999989163
107,41440,0.05043276771903038,0.19732430577278137,4.390189170837402,0.8010879999988809
108,41824,0.04735671356320381,0.13913081586360931,4.434511184692383,0.7992447999988705
109,41856,0.0020426984410732985,0.14915348589420319,4.412331581115723,0.7990911999988697
110,41888,0.14638960361480713,0.1668548434972763,4.403822422027588,0.7989375999988688
111,41920,0.052800070494413376,0.11763056367635727,4.436758995056152,0.798783999998868
112,41952,0.0014437380013987422,0.10294870287179947,4.457086563110352,0.7986303999988671
113,41984,0.09441202878952026,0.11249990016222,4.456049919128418,0.7984767999988662
114,42272,0.047394827008247375,0.14003364741802216,4.474942207336426,0.7970943999988584
115,42304,0.14947888255119324,0.14248062670230865,4.4754533767700195,0.7969407999988576
116,42752,0.04762682318687439,0.15797358751296997,4.54146146774292,0.7947903999988455
117,43168,0.09352357685565948,0.12417631596326828,4.624420642852783,0.7927935999988343
118,43200,0.04804384335875511,0.14807644486427307,4.624479293823242,0.7926399999988334
119,43232,0.10327688604593277,0.11922959983348846,4.6613030433654785,0.7924863999988325
120,43648,0.15158618986606598,0.1550886631011963,4.701054573059082,0.7904895999988213
121,43680,0.14484897255897522,0.17520840466022491,4.663140296936035,0.7903359999988204
122,44128,0.05356795713305473,0.14351660013198853,4.813051700592041,0.7881855999988083
123,44608,0.5130401849746704,0.353891521692276,4.839378833770752,0.7858815999987954
124,44992,0.16113951802253723,0.20818544924259186,4.875394821166992,0.784038399998785
125,45024,0.15871596336364746,0.17521443963050842,4.889840126037598,0.7838847999987841
126,45600,0.10218233615159988,0.12157639861106873,4.994001865386963,0.7811199999987686
