update_step,actor_loss,critic_loss,entropy
0,-0.13453006744384766,2.376926898956299,0.6550135612487793
1,-0.19590961933135986,2.274473190307617,0.670285701751709
2,-0.2474285513162613,1.951785922050476,0.6813098192214966
3,-0.2957589030265808,1.8525182008743286,0.6913964748382568
4,-0.35027381777763367,1.6058324575424194,0.678337812423706
5,-0.4008294939994812,1.365478754043579,0.6799013614654541
6,-0.44616198539733887,1.4651057720184326,0.6698229312896729
7,-0.5120306611061096,1.0592143535614014,0.6789641380310059
8,-0.5598036050796509,1.0479354858398438,0.6650497913360596
9,-0.6154145002365112,0.931469738483429,0.6506079435348511
10,-0.6657328605651855,1.04893159866333,0.6805812120437622
11,-0.7123568058013916,0.8584757447242737,0.6371364593505859
12,-0.7614798545837402,0.6566760540008545,0.6484509706497192
13,-0.8162695169448853,0.5599138140678406,0.6417651176452637
14,-0.8681995868682861,0.6074867248535156,0.660896897315979
15,-0.9026458263397217,0.7435291409492493,0.6591930389404297
16,-0.970757007598877,1.1257320642471313,0.618885338306427
17,-1.0051639080047607,0.6286354064941406,0.6401807069778442
18,-1.024869441986084,0.4562990367412567,0.6468824744224548
19,-1.0671639442443848,1.020380973815918,0.6150923371315002
20,-1.118577480316162,0.4868847131729126,0.622748613357544
21,-1.1193568706512451,0.6343950033187866,0.6273354291915894
22,-1.1415178775787354,0.45975708961486816,0.6134331226348877
23,-1.1781022548675537,0.4074828028678894,0.6008949279785156
24,-1.17518949508667,0.5015561580657959,0.6253320574760437
25,-1.200039267539978,0.4875534772872925,0.6519684791564941
26,-1.2310173511505127,0.8256580829620361,0.5958203673362732
27,-1.2295186519622803,0.6989275813102722,0.6176131963729858
28,-1.2210378646850586,0.4908822476863861,0.6217951774597168
29,-1.1910004615783691,0.37554290890693665,0.6319743990898132
30,-1.1875391006469727,0.36377447843551636,0.5863641500473022
31,-1.1828471422195435,0.2921079397201538,0.6017019748687744
32,-1.1804043054580688,0.38656651973724365,0.6153553128242493
