update_step,actor_loss,critic_loss,entropy,alpha
0,0.5717735439538956,,0.9189385175704956,
1,0.4766286760568619,,0.9194410443305969,
2,0.5435009449720383,,0.9194259643554688,
3,0.3688887506723404,,0.9197300672531128,
4,0.5528585612773895,,0.9197536110877991,
5,0.5139650851488113,,0.9198565483093262,
6,0.3955596089363098,,0.920028030872345,
7,0.4528992043601142,,0.9201365113258362,
8,0.4267992501457532,,0.9203714728355408,
9,0.43488011360168455,,0.9205837249755859,
10,0.4277163190501077,,0.9208261966705322,
11,0.43028925855954486,,0.9210398197174072,
12,0.37228719145059586,,0.9212861061096191,
13,0.4830205887556076,,0.9213507771492004,
14,0.510941641671317,,0.9214807152748108,
15,0.41472650898827446,,0.9216964840888977,
16,0.3910589627921581,,0.9218483567237854,
17,0.3713395297527313,,0.9219443798065186,
18,0.29918727092444897,,0.9219355583190918,
19,0.3913920323053996,,0.9218618273735046,
20,0.42081763222813606,,0.9217778444290161,
21,0.44961877663930255,,0.9216234683990479,
22,0.4772861550251643,,0.921505331993103,
23,0.4332943707704544,,0.9214228391647339,
24,0.47310544550418854,,0.9213464856147766,
25,0.5136153399944305,,0.9212979674339294,
26,0.3981469087302685,,0.9212937355041504,
27,0.4766562059521675,,0.9211869835853577,
28,0.40906190872192383,,0.9211301803588867,
29,0.4460892975330353,,0.9210674166679382,
30,0.4196722166878836,,0.9210308194160461,
31,0.42789842188358307,,0.9209847450256348,
32,0.44729626923799515,,0.9209573268890381,
33,0.43316230674584705,,0.9209224581718445,
34,0.45730967819690704,,0.920884907245636,
35,0.4575694004694621,,0.9208858609199524,
36,0.33848121017217636,,0.9208922833204269,
37,0.41925568878650665,,0.9208285808563232,
38,0.5069930901130041,,0.9207541644573212,
39,0.40698984265327454,,0.9207871556282043,
40,0.4584247052669525,,0.9208109378814697,
41,0.42926880717277527,,0.9208880811929703,
42,0.3965051968892415,,0.9209580421447754,
43,0.3964178115129471,,0.9210170060396194,
44,0.3824329773585002,,0.9210664927959442,
45,0.4827154874801636,,0.9210875630378723,
46,0.3523734390735626,,0.9211559295654297,
47,0.46974197030067444,,0.9211405515670776,
48,0.4229576587677002,,0.9211413562297821,
49,0.45885538309812546,,0.9211506148179373,
50,0.4067479521036148,,0.9212028980255127,
51,0.4470709562301636,,0.9212327599525452,
52,0.39409111936887103,,0.9212690591812134,
53,0.2927245460450649,,0.9212915599346161,
54,0.42992243766784666,,0.9212073087692261,
55,0.4443577751517296,,0.9211667239665985,
56,0.40250687301158905,,0.9211394935846329,
57,0.42782997091611225,,0.9210923314094543,
58,0.37442006170749664,,0.9210497438907623,
59,0.4462266743183136,,0.9209896206855774,
60,0.3701830804347992,,0.9209863662719726,
61,0.4191813213484628,,0.9209535207067218,
62,0.4006800850232442,,0.9209223588307699,
63,0.4680132071177165,,0.9209067225456238,
64,0.3961890969011519,,0.920935697025723,
65,0.41375331083933514,,0.9209237098693848,
66,0.3838108877340953,,0.9209123452504476,
67,0.35691330432891843,,0.9209165811538697,
68,0.4434509128332138,,0.9208495318889618,
69,0.38791608810424805,,0.9208383560180664,
70,0.3516370952129364,,0.9208138585090637,
71,0.4344019691149394,,0.9207622508207957,
72,0.4649154146512349,,0.9207323292891184,
73,0.44491343945264816,,0.9207621961832047,
74,0.4018899127840996,,0.92082679271698,
75,0.3916434422135353,,0.920902356505394,
76,0.42093203216791153,,0.9209582209587097,
77,0.3421981930732727,,0.9210288325945536,
78,0.3483947515487671,,0.9210581481456757,
79,0.41187695413827896,,0.9210629612207413,
80,0.3860740900039673,,0.9210549235343933,
81,0.39044834971427916,,0.9210235834121704,
82,0.42739154895146686,,0.9209898312886556,
83,0.38850006461143494,,0.9209662824869156,
84,0.4257538542151451,,0.920964315533638,
85,0.29121991991996765,,0.920953094959259,
86,0.35042014718055725,,0.9209015369415283,
87,0.5030498703320821,,0.9207616051038107,
88,0.3598623399933179,,0.9207028150558472,
89,0.5314167022705079,,0.9206011772155762,
90,0.4859437271952629,,0.9206256791949272,
91,0.3492176830768585,,0.9207467436790466,
92,0.4238043501973152,,0.9207889437675476,
93,0.4026224911212921,,0.9208758274714152,
94,0.3778361727794011,,0.9210326804055108,
95,0.40128418803215027,,0.9212160468101501,
96,0.34903938695788383,,0.9214166849851608,
