episode,ep_return,ep_length
0,999.7386474609375,1000
1,999.5704956054688,1000
2,999.755126953125,1000
3,999.44921875,1000
4,999.836181640625,1000
5,999.6906127929688,1000
6,999.6569213867188,1000
7,999.7322998046875,1000
8,999.9855346679688,1000
9,999.9136962890625,1000
10,999.6838989257812,1000
11,999.7758178710938,1000
12,999.8865966796875,1000
13,999.8577880859375,1000
14,999.53564453125,1000
15,999.7197875976562,1000
16,999.8051147460938,1000
17,999.9298706054688,1000
18,999.601806640625,1000
19,999.704345703125,1000
20,999.6834716796875,1000
21,999.833740234375,1000
22,999.8345947265625,1000
23,999.3494873046875,1000
24,999.7492065429688,1000
25,999.631591796875,1000
26,999.738037109375,1000
27,999.7218017578125,1000
28,999.79150390625,1000
29,999.3550415039062,1000
30,999.7906494140625,1000
31,999.8639526367188,1000
32,999.6810302734375,1000
33,999.7252807617188,1000
34,999.8936767578125,1000
35,999.7569580078125,1000
36,999.7947998046875,1000
37,999.9727783203125,1000
38,999.8876953125,1000
39,999.5775756835938,1000
40,999.8584594726562,1000
41,999.7809448242188,1000
42,999.826171875,1000
43,999.7507934570312,1000
44,999.9044189453125,1000
45,999.6463623046875,1000
46,999.8920288085938,1000
47,999.5060424804688,1000
48,999.4370727539062,1000
49,999.662109375,1000
50,999.6814575195312,1000
51,999.7327270507812,1000
52,999.62890625,1000
53,999.7527465820312,1000
54,999.9873046875,1000
55,999.7391967773438,1000
56,999.70654296875,1000
57,999.8745727539062,1000
58,999.681640625,1000
59,999.6981811523438,1000
60,999.6201171875,1000
61,999.9798583984375,1000
62,999.9819946289062,1000
63,999.8102416992188,1000
64,999.5237426757812,1000
65,999.5153198242188,1000
66,999.49658203125,1000
67,999.9437866210938,1000
68,999.5385131835938,1000
69,999.9058837890625,1000
70,999.5760498046875,1000
71,999.947265625,1000
72,999.5254516601562,1000
73,999.8536376953125,1000
74,999.99609375,1000
75,999.7352294921875,1000
76,999.8977661132812,1000
77,999.6526489257812,1000
78,999.6971435546875,1000
79,999.5023803710938,1000
80,999.6034545898438,1000
81,999.9837036132812,1000
82,999.607421875,1000
83,999.2230834960938,1000
84,999.677978515625,1000
85,999.9777221679688,1000
86,999.8642578125,1000
87,999.91650390625,1000
88,999.9633178710938,1000
89,999.7791748046875,1000
90,999.9910278320312,1000
91,999.7376098632812,1000
92,999.5870361328125,1000
93,999.5248413085938,1000
94,999.90869140625,1000
95,999.7861328125,1000
96,999.4755859375,1000
97,999.9524536132812,1000
98,999.74267578125,1000
99,999.7410888671875,1000
