episode,ep_return,ep_length
0,998.4842529296875,1000
1,997.811279296875,1000
2,999.9015502929688,1000
3,999.798583984375,1000
4,999.865478515625,1000
5,999.4791259765625,1000
6,999.94287109375,1000
7,998.4326782226562,1000
8,999.9901123046875,1000
9,998.1945190429688,1000
10,998.3994140625,1000
11,998.5261840820312,1000
12,999.5877685546875,1000
13,998.7987670898438,1000
14,998.386962890625,1000
15,999.83837890625,1000
16,999.9529418945312,1000
17,998.4804077148438,1000
18,997.1106567382812,1000
19,998.42236328125,1000
20,999.9249267578125,1000
21,999.9840698242188,1000
22,999.9248046875,1000
23,998.3507080078125,1000
24,998.3822021484375,1000
25,998.5160522460938,1000
26,999.8670654296875,1000
27,997.0740356445312,1000
28,998.3765258789062,1000
29,997.0052490234375,1000
30,999.394287109375,1000
31,999.6617431640625,1000
32,998.0729370117188,1000
33,998.1954345703125,1000
34,999.8539428710938,1000
35,996.898193359375,1000
36,999.8908081054688,1000
37,998.5297241210938,1000
38,998.5238037109375,1000
39,999.989501953125,1000
40,998.4981079101562,1000
41,999.67138671875,1000
42,997.9125366210938,1000
43,997.0977172851562,1000
44,998.5122680664062,1000
45,998.5239868164062,1000
46,997.0452880859375,1000
47,998.5266723632812,1000
48,999.603271484375,1000
49,997.0919799804688,1000
50,998.1251831054688,1000
51,999.6149291992188,1000
52,998.4039306640625,1000
53,999.8372802734375,1000
54,996.8179931640625,1000
55,997.6585693359375,1000
56,998.4567260742188,1000
57,997.1451416015625,1000
58,997.1055297851562,1000
59,998.2493896484375,1000
60,998.4490966796875,1000
61,998.4359741210938,1000
62,999.878662109375,1000
63,999.837158203125,1000
64,999.8922119140625,1000
65,999.7695922851562,1000
66,999.0344848632812,1000
67,999.65478515625,1000
68,998.441162109375,1000
69,998.4031372070312,1000
70,998.5068969726562,1000
71,999.9684448242188,1000
72,999.6470336914062,1000
73,998.488525390625,1000
74,998.4305419921875,1000
75,999.1293334960938,1000
76,997.7509155273438,1000
77,999.993408203125,1000
78,999.7308349609375,1000
79,999.8709106445312,1000
80,998.4697875976562,1000
81,998.26025390625,1000
82,999.65185546875,1000
83,998.454833984375,1000
84,999.5445556640625,1000
85,997.4596557617188,1000
86,999.907470703125,1000
87,998.3150634765625,1000
88,999.5408935546875,1000
89,998.2528686523438,1000
90,999.8582153320312,1000
91,999.8048706054688,1000
92,999.955810546875,1000
93,998.4577026367188,1000
94,999.7374267578125,1000
95,999.872802734375,1000
96,997.6986694335938,1000
97,999.9622802734375,1000
98,998.4492797851562,1000
99,999.8236694335938,1000
