update_step,actor_loss,critic_loss,entropy,alpha
0,1.4261795282363892,0.9705694913864136,1.4189385175704956,
1,1.4025077819824219,0.9698114395141602,1.419238567352295,
2,1.371220350265503,0.9692047834396362,1.4195188283920288,
3,1.339489459991455,0.9675952196121216,1.4197092056274414,
4,1.3403863906860352,0.9671870470046997,1.4197382926940918,
5,1.3800022602081299,0.9668435454368591,1.4196816682815552,
6,1.4346468448638916,0.965137243270874,1.4196397066116333,
7,1.3060047626495361,0.9644860625267029,1.419702410697937,
8,1.4603885412216187,0.9626678228378296,1.419663906097412,
9,1.366768717765808,0.9608724117279053,1.41972017288208,
10,1.363287329673767,0.9589540958404541,1.4197652339935303,
11,1.4007028341293335,0.9571423530578613,1.419798493385315,
12,1.3868687152862549,0.9550536870956421,1.4198557138442993,
13,1.4025226831436157,0.9491870999336243,1.4199235439300537,
14,1.3221073150634766,0.9494962096214294,1.4200159311294556,
15,1.4427266120910645,0.9473934173583984,1.4200636148452759,
16,1.399556279182434,0.9423121213912964,1.4201616048812866,
17,1.351717472076416,0.9400234222412109,1.420277714729309,
18,1.3065110445022583,0.9423730969429016,1.4203797578811646,
19,1.2751843929290771,0.9508088827133179,1.420435905456543,
20,1.3614381551742554,0.9342427849769592,1.4204517602920532,
21,1.3067924976348877,0.9166083335876465,1.420472502708435,
22,1.4558804035186768,0.9549555778503418,1.42047119140625,
23,1.3308366537094116,0.9150846600532532,1.4205408096313477,
24,1.3091171979904175,0.9541138410568237,1.42060124874115,
25,1.2589613199234009,1.0290544033050537,1.4206626415252686,
26,1.1804907321929932,1.024176836013794,1.4207308292388916,
27,1.2206519842147827,1.0521948337554932,1.4207677841186523,
28,1.331210970878601,1.0108054876327515,1.420796275138855,
29,1.3390295505523682,0.9583964347839355,1.4208523035049438,
30,1.16371488571167,1.1031787395477295,1.4209264516830444,
31,1.2945517301559448,0.9952933192253113,1.420979380607605,
32,1.3506824970245361,1.0406204462051392,1.42104971408844,
33,1.3364025354385376,1.100351333618164,1.421148657798767,
34,1.258787989616394,0.9508861303329468,1.4212836027145386,
35,1.1583675146102905,1.1719849109649658,1.4213913679122925,
36,1.3433068990707397,1.1334023475646973,1.4215115308761597,
37,1.2268142700195312,1.1753610372543335,1.4216667413711548,
38,1.1771392822265625,1.1900593042373657,1.4218178987503052,
39,1.1957104206085205,1.2940738201141357,1.4219721555709839,
40,1.0766856670379639,1.5367584228515625,1.422117829322815,
41,1.2812010049819946,0.9893015623092651,1.422263503074646,
42,1.143246054649353,1.4178051948547363,1.4223825931549072,
43,1.2106984853744507,1.154561996459961,1.4225108623504639,
44,1.2796111106872559,1.079383134841919,1.4226114749908447,
45,1.1114802360534668,1.6058334112167358,1.4226971864700317,
46,0.9313204884529114,1.957832932472229,1.4227466583251953,
47,1.3180456161499023,1.060779094696045,1.4227824211120605,
48,1.2460132837295532,1.2219336032867432,1.4228163957595825,
49,1.3368035554885864,1.29962158203125,1.422836184501648,
50,1.1121503114700317,1.4765923023223877,1.4228675365447998,
51,1.2755454778671265,1.6604022979736328,1.4228705167770386,
52,1.0882518291473389,1.5919393301010132,1.422899842262268,
53,1.3221219778060913,1.5131423473358154,1.4229133129119873,
54,1.347446322441101,1.295008659362793,1.422938585281372,
55,1.2154840230941772,1.5834519863128662,1.4229646921157837,
56,1.405084252357483,1.2916029691696167,1.4229644536972046,
57,1.2584530115127563,1.3301185369491577,1.4229702949523926,
58,1.482922911643982,1.2498342990875244,1.4229705333709717,
59,1.4893014430999756,1.6092638969421387,1.422983169555664,
60,1.2141937017440796,2.010040521621704,1.4230015277862549,
61,1.4934172630310059,1.5926496982574463,1.4229930639266968,
62,1.0908973217010498,3.1065149307250977,1.4229844808578491,
63,1.102073311805725,4.326155662536621,1.4229466915130615,
64,1.1874293088912964,3.939444065093994,1.422921061515808,
65,1.2864946126937866,5.243438243865967,1.422895908355713,
66,1.4766343832015991,4.011198043823242,1.4228944778442383,
67,1.2772897481918335,4.550804138183594,1.4228930473327637,
68,1.6508657932281494,4.713249206542969,1.4228687286376953,
69,1.3640670776367188,5.704049110412598,1.422861099243164,
70,1.7147499322891235,4.042767524719238,1.4228243827819824,
71,1.6962716579437256,5.237415313720703,1.422780990600586,
72,1.5205496549606323,10.14523696899414,1.4227290153503418,
73,1.566663384437561,10.405014038085938,1.422703504562378,
74,1.126863956451416,18.26154327392578,1.4226857423782349,
75,1.7785725593566895,7.143465518951416,1.4227415323257446,
76,1.0441457033157349,11.171024322509766,1.4227888584136963,
77,1.6018249988555908,12.58525562286377,1.422768473625183,
78,1.1107187271118164,16.295358657836914,1.4227612018585205,
79,0.9443496465682983,19.295825958251953,1.4227368831634521,
80,0.820033073425293,24.062274932861328,1.4226924180984497,
81,1.070480227470398,21.468408584594727,1.4226609468460083,
82,0.5452835559844971,30.526702880859375,1.4226584434509277,
83,1.2494900226593018,19.905536651611328,1.4226711988449097,
84,0.5598695278167725,28.855121612548828,1.42268705368042,
85,0.39535340666770935,31.02190399169922,1.422676682472229,
86,1.0468653440475464,22.767288208007812,1.422634243965149,
87,0.22142362594604492,35.94541549682617,1.4225835800170898,
88,-0.04579545557498932,36.095367431640625,1.422523021697998,
89,0.1395273655653,41.15180587768555,1.422415018081665,
90,0.6737228035926819,30.03946304321289,1.4223147630691528,
91,0.6333469152450562,31.62529754638672,1.4222139120101929,
