episode,ep_return,ep_length
0,999.3175048828125,1000
1,999.849609375,1000
2,999.4894409179688,1000
3,999.97705078125,1000
4,999.5694580078125,1000
5,999.8096923828125,1000
6,999.9263305664062,1000
7,999.8143310546875,1000
8,998.7671508789062,1000
9,998.5277709960938,1000
10,998.17041015625,1000
11,999.9797973632812,1000
12,999.787841796875,1000
13,999.6312866210938,1000
14,999.7929077148438,1000
15,999.639404296875,1000
16,999.8880615234375,1000
17,999.502197265625,1000
18,999.7537841796875,1000
19,999.8792114257812,1000
20,999.596435546875,1000
21,999.8885498046875,1000
22,999.35009765625,1000
23,999.5992431640625,1000
24,998.852783203125,1000
25,999.967041015625,1000
26,999.7125854492188,1000
27,999.9520263671875,1000
28,999.6735229492188,1000
29,999.515625,1000
30,999.9820556640625,1000
31,999.94580078125,1000
32,999.97119140625,1000
33,999.0328979492188,1000
34,999.4898071289062,1000
35,999.99609375,1000
36,999.9122314453125,1000
37,999.8712768554688,1000
38,999.6156005859375,1000
39,999.4273681640625,1000
40,999.6988525390625,1000
41,999.5390014648438,1000
42,999.842529296875,1000
43,999.4771728515625,1000
44,998.8627319335938,1000
45,997.81982421875,1000
46,999.5830078125,1000
47,998.306640625,1000
48,999.8369140625,1000
49,999.2254028320312,1000
50,999.9059448242188,1000
51,999.6411743164062,1000
52,999.8097534179688,1000
53,999.906494140625,1000
54,999.9620361328125,1000
55,999.6803588867188,1000
56,999.2648315429688,1000
57,999.6961669921875,1000
58,999.830810546875,1000
59,999.794921875,1000
60,999.570556640625,1000
61,999.9364013671875,1000
62,999.7923583984375,1000
63,999.958251953125,1000
64,998.6257934570312,1000
65,999.6083984375,1000
66,999.80615234375,1000
67,999.5474853515625,1000
68,999.962158203125,1000
69,999.5418701171875,1000
70,999.711181640625,1000
71,999.6910400390625,1000
72,999.767333984375,1000
73,998.8626708984375,1000
74,999.7537231445312,1000
75,999.28564453125,1000
76,999.78759765625,1000
77,999.6812744140625,1000
78,999.4662475585938,1000
79,998.95263671875,1000
80,999.7911987304688,1000
81,999.52294921875,1000
82,999.9449462890625,1000
83,999.566162109375,1000
84,999.1661987304688,1000
85,999.8228149414062,1000
86,999.44677734375,1000
87,999.5340576171875,1000
88,999.948486328125,1000
89,999.8541259765625,1000
90,999.648193359375,1000
91,999.62451171875,1000
92,999.9583740234375,1000
93,998.4780883789062,1000
94,999.6512451171875,1000
95,999.2611694335938,1000
96,999.6911010742188,1000
97,999.0894775390625,1000
98,998.51953125,1000
99,999.8836669921875,1000
