episode,ep_return,ep_length,global_step,epsilon
0,13.282301902770996,18,4608,0.9964000000000004
1,16.212003707885742,21,5376,0.9958000000000005
2,17.792028427124023,23,5888,0.9954000000000005
3,18.88812255859375,24,6144,0.9952000000000005
4,19.196247100830078,24,6144,0.9952000000000005
5,18.871875762939453,24,6144,0.9952000000000005
6,18.85824966430664,24,6144,0.9952000000000005
7,18.866436004638672,24,6144,0.9952000000000005
8,18.82689666748047,24,6144,0.9952000000000005
9,19.68550682067871,25,6400,0.9950000000000006
10,19.860063552856445,25,6400,0.9950000000000006
11,19.777141571044922,25,6400,0.9950000000000006
12,20.53769302368164,26,6656,0.9948000000000006
13,20.6920166015625,26,6656,0.9948000000000006
14,21.69316864013672,27,6912,0.9946000000000006
15,21.829069137573242,27,6912,0.9946000000000006
16,21.873085021972656,27,6912,0.9946000000000006
17,21.59838104248047,27,6912,0.9946000000000006
18,22.039791107177734,27,6912,0.9946000000000006
19,22.56361198425293,28,7168,0.9944000000000006
20,22.59550666809082,28,7168,0.9944000000000006
21,22.78008460998535,28,7168,0.9944000000000006
22,23.151920318603516,28,7168,0.9944000000000006
23,22.790868759155273,28,7168,0.9944000000000006
24,22.637311935424805,28,7168,0.9944000000000006
25,22.518388748168945,28,7168,0.9944000000000006
26,24.052412033081055,29,7424,0.9942000000000006
27,23.853330612182617,29,7424,0.9942000000000006
28,23.501951217651367,29,7424,0.9942000000000006
29,24.73489761352539,30,7680,0.9940000000000007
30,24.57918357849121,30,7680,0.9940000000000007
31,24.596364974975586,30,7680,0.9940000000000007
32,24.20940399169922,30,7680,0.9940000000000007
33,25.317352294921875,31,7936,0.9938000000000007
34,25.52379608154297,31,7936,0.9938000000000007
35,25.862045288085938,31,7936,0.9938000000000007
36,24.98697853088379,31,7936,0.9938000000000007
37,25.4631404876709,31,7936,0.9938000000000007
38,26.223148345947266,32,8192,0.9936000000000007
39,26.48143196105957,32,8192,0.9936000000000007
40,27.508617401123047,33,8448,0.9934000000000007
41,27.958654403686523,33,8448,0.9934000000000007
42,27.527265548706055,33,8448,0.9934000000000007
43,27.423664093017578,33,8448,0.9934000000000007
44,27.91199493408203,33,8448,0.9934000000000007
45,29.166162490844727,34,8704,0.9932000000000007
46,27.877914428710938,34,8704,0.9932000000000007
47,28.6518611907959,34,8704,0.9932000000000007
48,28.111955642700195,34,8704,0.9932000000000007
49,28.32295036315918,34,8704,0.9932000000000007
50,28.781496047973633,34,8704,0.9932000000000007
51,28.694766998291016,34,8704,0.9932000000000007
52,28.49183464050293,34,8704,0.9932000000000007
53,28.688549041748047,34,8704,0.9932000000000007
54,29.877155303955078,35,8960,0.9930000000000008
55,29.431758880615234,35,8960,0.9930000000000008
56,29.342666625976562,35,8960,0.9930000000000008
57,29.649662017822266,35,8960,0.9930000000000008
58,29.226146697998047,35,8960,0.9930000000000008
59,29.85346794128418,35,8960,0.9930000000000008
60,29.140689849853516,35,8960,0.9930000000000008
61,30.064228057861328,36,9216,0.9928000000000008
62,30.42667007446289,36,9216,0.9928000000000008
63,30.64129638671875,36,9216,0.9928000000000008
64,30.648845672607422,36,9216,0.9928000000000008
65,30.139484405517578,36,9216,0.9928000000000008
66,30.467126846313477,36,9216,0.9928000000000008
67,32.03466796875,37,9472,0.9926000000000008
68,32.02824783325195,37,9472,0.9926000000000008
69,32.63866424560547,38,9728,0.9924000000000008
70,32.896759033203125,38,9728,0.9924000000000008
71,32.72288131713867,38,9728,0.9924000000000008
72,32.02153778076172,38,9728,0.9924000000000008
73,33.23286056518555,38,9728,0.9924000000000008
74,32.032569885253906,38,9728,0.9924000000000008
75,31.993513107299805,38,9728,0.9924000000000008
76,32.832210540771484,38,9728,0.9924000000000008
77,32.71403503417969,38,9728,0.9924000000000008
78,32.628883361816406,38,9728,0.9924000000000008
79,32.71498107910156,38,9728,0.9924000000000008
80,32.9619255065918,38,9728,0.9924000000000008
81,33.45857620239258,39,9984,0.9922000000000009
82,33.44782257080078,39,9984,0.9922000000000009
83,32.98702621459961,39,9984,0.9922000000000009
84,33.31912612915039,39,9984,0.9922000000000009
85,33.36815643310547,39,9984,0.9922000000000009
86,33.342525482177734,39,9984,0.9922000000000009
87,34.522884368896484,40,10240,0.9920000000000009
88,35.28926467895508,40,10240,0.9920000000000009
89,35.52240753173828,41,10496,0.9918000000000009
90,35.83370590209961,41,10496,0.9918000000000009
91,35.7189826965332,41,10496,0.9918000000000009
92,35.687599182128906,41,10496,0.9918000000000009
93,35.794517517089844,41,10496,0.9918000000000009
94,35.45830154418945,41,10496,0.9918000000000009
95,35.01032638549805,41,10496,0.9918000000000009
96,34.601192474365234,41,10496,0.9918000000000009
97,34.422245025634766,41,10496,0.9918000000000009
98,35.98631286621094,41,10496,0.9918000000000009
99,35.823829650878906,41,10496,0.9918000000000009
100,36.721702575683594,42,10752,0.9916000000000009
101,36.4061393737793,42,10752,0.9916000000000009
102,36.924861907958984,43,11008,0.991400000000001
103,36.27056884765625,43,11008,0.991400000000001
104,37.59206771850586,43,11008,0.991400000000001
105,36.86759948730469,43,11008,0.991400000000001
106,37.71461486816406,43,11008,0.991400000000001
107,38.03958511352539,43,11008,0.991400000000001
108,38.334964752197266,43,11008,0.991400000000001
109,38.981143951416016,44,11264,0.991200000000001
110,38.77058792114258,44,11264,0.991200000000001
111,39.40864944458008,45,11520,0.991000000000001
112,38.876075744628906,45,11520,0.991000000000001
113,39.62858581542969,45,11520,0.991000000000001
114,39.76223373413086,45,11520,0.991000000000001
115,39.90277862548828,45,11520,0.991000000000001
116,41.29093551635742,46,11776,0.990800000000001
117,40.74129104614258,46,11776,0.990800000000001
118,40.13267517089844,46,11776,0.990800000000001
119,40.74489974975586,46,11776,0.990800000000001
120,40.54860305786133,46,11776,0.990800000000001
121,40.483463287353516,46,11776,0.990800000000001
122,40.302406311035156,46,11776,0.990800000000001
123,41.13170623779297,47,12032,0.990600000000001
124,41.428226470947266,47,12032,0.990600000000001
125,42.668235778808594,48,12288,0.9904000000000011
126,42.922569274902344,48,12288,0.9904000000000011
127,43.13462829589844,48,12288,0.9904000000000011
128,42.3381233215332,48,12288,0.9904000000000011
129,42.13771057128906,48,12288,0.9904000000000011
130,42.23030471801758,48,12288,0.9904000000000011
131,42.35009765625,48,12288,0.9904000000000011
132,42.512428283691406,48,12288,0.9904000000000011
133,43.96554946899414,49,12544,0.9902000000000011
134,44.02218246459961,49,12544,0.9902000000000011
135,43.78959655761719,49,12544,0.9902000000000011
136,43.6354866027832,49,12544,0.9902000000000011
137,43.109397888183594,49,12544,0.9902000000000011
138,44.07332229614258,49,12544,0.9902000000000011
139,43.47682189941406,49,12544,0.9902000000000011
140,43.270835876464844,49,12544,0.9902000000000011
141,43.348358154296875,49,12544,0.9902000000000011
142,42.44728088378906,49,12544,0.9902000000000011
143,44.805946350097656,50,12800,0.9900000000000011
144,44.44931411743164,50,12800,0.9900000000000011
145,44.207244873046875,50,12800,0.9900000000000011
146,43.538394927978516,50,12800,0.9900000000000011
147,44.7024040222168,50,12800,0.9900000000000011
148,43.93885040283203,50,12800,0.9900000000000011
149,45.20656204223633,50,12800,0.9900000000000011
150,45.05119705200195,50,12800,0.9900000000000011
151,45.61175537109375,51,13056,0.9898000000000011
152,44.30376052856445,51,13056,0.9898000000000011
153,44.81237030029297,51,13056,0.9898000000000011
154,45.68162536621094,52,13312,0.9896000000000011
155,46.64146423339844,52,13312,0.9896000000000011
156,46.273956298828125,52,13312,0.9896000000000011
157,46.512577056884766,52,13312,0.9896000000000011
158,46.611087799072266,52,13312,0.9896000000000011
159,46.595420837402344,52,13312,0.9896000000000011
160,46.09611892700195,52,13312,0.9896000000000011
161,46.63810729980469,52,13312,0.9896000000000011
162,15.261091232299805,20,13312,0.9896000000000011
163,47.87600326538086,53,13568,0.9894000000000012
164,47.94017791748047,53,13568,0.9894000000000012
165,47.726070404052734,53,13568,0.9894000000000012
166,47.8299560546875,54,13824,0.9892000000000012
167,47.76429748535156,54,13824,0.9892000000000012
168,48.475460052490234,54,13824,0.9892000000000012
169,48.284786224365234,54,13824,0.9892000000000012
170,49.36765670776367,55,14080,0.9890000000000012
171,49.443355560302734,55,14080,0.9890000000000012
172,48.97627258300781,55,14080,0.9890000000000012
173,50.5882568359375,56,14336,0.9888000000000012
174,51.65639877319336,57,14592,0.9886000000000013
175,51.74616241455078,57,14592,0.9886000000000013
176,21.697254180908203,27,14848,0.9884000000000013
177,52.14323425292969,58,14848,0.9884000000000013
178,15.222429275512695,20,14848,0.9884000000000013
179,52.01862716674805,58,14848,0.9884000000000013
180,52.684478759765625,58,14848,0.9884000000000013
181,53.3819580078125,59,15104,0.9882000000000013
182,53.27268600463867,59,15104,0.9882000000000013
183,53.711917877197266,59,15104,0.9882000000000013
184,55.04031753540039,60,15360,0.9880000000000013
185,53.9887809753418,60,15360,0.9880000000000013
186,54.29338836669922,60,15360,0.9880000000000013
187,54.88641357421875,60,15360,0.9880000000000013
188,55.7080078125,61,15616,0.9878000000000013
189,55.14518737792969,61,15616,0.9878000000000013
190,55.50148391723633,61,15616,0.9878000000000013
191,55.34717559814453,61,15616,0.9878000000000013
192,55.7950325012207,61,15616,0.9878000000000013
193,29.186813354492188,34,15872,0.9876000000000014
194,56.6826057434082,62,15872,0.9876000000000014
195,24.653697967529297,30,15872,0.9876000000000014
196,56.272239685058594,62,15872,0.9876000000000014
197,56.99223327636719,62,15872,0.9876000000000014
198,29.53717041015625,35,15872,0.9876000000000014
199,56.94218826293945,62,15872,0.9876000000000014
200,57.162044525146484,62,15872,0.9876000000000014
201,56.95766067504883,62,15872,0.9876000000000014
202,31.20760154724121,37,16128,0.9874000000000014
203,29.45537757873535,35,16128,0.9874000000000014
204,57.36360549926758,63,16128,0.9874000000000014
205,56.90262222290039,63,16128,0.9874000000000014
206,22.803909301757812,28,16128,0.9874000000000014
207,57.417049407958984,63,16128,0.9874000000000014
208,56.7868537902832,63,16128,0.9874000000000014
209,57.708797454833984,63,16128,0.9874000000000014
210,57.66712188720703,63,16128,0.9874000000000014
211,18.204057693481445,23,16384,0.9872000000000014
212,59.26948928833008,64,16384,0.9872000000000014
213,22.843647003173828,28,16384,0.9872000000000014
214,25.407615661621094,31,16384,0.9872000000000014
215,34.260337829589844,40,16384,0.9872000000000014
