iteration,global_step,actor_loss,critic_loss,entropy,grad_norm,explained_variance
0,128,0.03184615075588226,79.87037658691406,0.9081129431724548,13.65372371673584,0.0009746551513671875
1,256,0.0003781914710998535,72.02813720703125,0.909278929233551,13.008702278137207,0.0008628368377685547
2,384,-0.036396972835063934,55.289581298828125,0.9101815223693848,11.850672721862793,0.0025894641876220703
3,512,0.005413854494690895,69.81846618652344,0.9101645946502686,12.390713691711426,-0.0001531839370727539
4,640,0.037672240287065506,58.9449577331543,0.9102970361709595,11.134028434753418,-0.00041222572326660156
5,768,0.011342907324433327,73.19154357910156,0.9108220338821411,13.151472091674805,-0.0028069019317626953
6,896,0.07478631287813187,71.60838317871094,0.9113976955413818,12.981338500976562,-0.0004445314407348633
7,1024,0.041245028376579285,58.65869903564453,0.9121711254119873,11.495640754699707,0.005485415458679199
8,1152,-0.018801309168338776,65.76408386230469,0.9130350351333618,12.212715148925781,0.0016651749610900879
9,1280,0.012269288301467896,72.48613739013672,0.9137269854545593,12.933734893798828,-0.0009151697158813477
10,1408,0.12246477603912354,70.69932556152344,0.914417564868927,12.887965202331543,0.0016037821769714355
11,1536,-0.08034761250019073,65.83222961425781,0.9152486324310303,12.551238059997559,0.0026963353157043457
12,1664,-0.13851051032543182,70.41182708740234,0.9157078266143799,13.186884880065918,0.0013690590858459473
13,1792,0.013693548738956451,98.54057312011719,0.9157369136810303,7.731759548187256,0.0013157129287719727
14,1920,-0.013230562210083008,70.58086395263672,0.9158374667167664,12.90498161315918,0.0008130073547363281
15,2048,0.026921048760414124,67.50801086425781,0.9159086346626282,12.60315990447998,-0.0029414892196655273
16,2176,0.028074581176042557,116.97124481201172,0.9160506725311279,10.014400482177734,-0.005341649055480957
17,2304,0.030607327818870544,62.7598876953125,0.9162785410881042,12.11927604675293,0.0023609399795532227
18,2432,0.022653192281723022,56.991973876953125,0.9165723919868469,11.755001068115234,-0.0026204586029052734
19,2560,0.033862967044115067,65.87992095947266,0.9169090986251831,13.591656684875488,0.0072609782218933105
20,2688,-0.052131831645965576,65.0206069946289,0.9172990322113037,12.97241497039795,0.004952430725097656
21,2816,0.016552139073610306,68.10619354248047,0.9175375699996948,13.20345687866211,0.0059548020362854
22,2944,-0.09232479333877563,62.43303680419922,0.9178036451339722,12.740736961364746,-0.003324270248413086
23,3072,0.13248933851718903,106.70967102050781,0.9178328514099121,7.257185459136963,0.005638003349304199
24,3200,-0.02236529439687729,75.41227722167969,0.9182645678520203,14.50119686126709,0.005657970905303955
25,3328,0.05547124892473221,69.59818267822266,0.9186309576034546,13.777689933776855,0.002925097942352295
26,3456,0.11118702590465546,69.15823364257812,0.9190570116043091,13.841578483581543,0.0013033151626586914
27,3584,-0.006540581583976746,56.39238739013672,0.9196079969406128,12.232397079467773,0.0014261603355407715
28,3712,0.0140775665640831,70.62327575683594,0.9201070666313171,14.214679718017578,0.00018590688705444336
29,3840,0.07137279957532883,57.63059997558594,0.9205902814865112,12.898066520690918,0.0033681392669677734
30,3968,0.08245144039392471,67.36015319824219,0.9211496114730835,14.293959617614746,-0.0001424551010131836
31,4096,0.047630175948143005,74.05506134033203,0.9217798709869385,15.113837242126465,-0.001379847526550293
32,4224,-0.09669104963541031,56.99733352661133,0.9224247932434082,12.927804946899414,0.003035247325897217
33,4352,0.026718180626630783,65.03898620605469,0.9228470921516418,14.165544509887695,-0.004052996635437012
34,4480,-0.12568867206573486,61.88351821899414,0.9232785105705261,14.125969886779785,-0.0011931657791137695
35,4608,-0.08197417855262756,67.29092407226562,0.9234795570373535,14.980571746826172,0.0006234049797058105
36,4736,0.052720729261636734,106.39976501464844,0.9235532283782959,13.210731506347656,-0.003640413284301758
37,4864,-0.032410625368356705,101.379150390625,0.9237111806869507,7.747060775756836,0.0015785694122314453
38,4992,0.09886526316404343,67.25033569335938,0.9237797260284424,15.643259048461914,-0.002687811851501465
39,5120,0.013989932835102081,55.44645690917969,0.9239796996116638,14.02073860168457,0.004961609840393066
40,5248,0.13719241321086884,64.65947723388672,0.924190104007721,15.753840446472168,-0.003737330436706543
41,5376,-0.06957186758518219,73.72286987304688,0.924561619758606,17.782163619995117,0.004641830921173096
42,5504,-0.03981859236955643,60.572364807128906,0.9248224496841431,15.35598373413086,0.0018595457077026367
43,5632,-0.04296664893627167,58.181175231933594,0.9250118136405945,15.300459861755371,0.0015162825584411621
44,5760,-0.009292803704738617,57.78955841064453,0.9251312613487244,15.380908966064453,-0.005527377128601074
45,5888,-0.011734716594219208,59.76544952392578,0.9252339601516724,15.849822998046875,-0.001656651496887207
46,6016,0.028770385310053825,113.67212677001953,0.9253182411193848,11.481863021850586,-0.004749178886413574
47,6144,0.030682161450386047,38.94524383544922,0.9254582524299622,12.97221851348877,0.00832897424697876
48,6272,-0.006625380367040634,73.17338562011719,0.9256452322006226,19.174928665161133,-0.004933834075927734
