iteration,global_step,surrogate_loss,value_loss,entropy,clip_fraction,grad_norm,explained_variance,learning_rate
0,6144,-0.000979328970424831,75.81554107666015,1.419793850183487,0.010221354401437566,13.896030759811401,0.0001773834228515625,0.0003
1,12288,-0.0009816871955990792,52.71384601593017,1.4225617051124573,0.014648437799769454,11.86045570373535,-0.0019932985305786133,0.0003
2,18432,-0.00028481874905992297,61.669597434997556,1.4272029936313628,0.0,14.610272288322449,-0.002049088478088379,0.0003
3,24576,-0.0016293024935293942,58.08356552124023,1.4310124695301056,0.01848958408809267,12.600126679986715,-0.0005643367767333984,0.0003
4,30720,0.0017991754226386546,57.271619606018064,1.435333514213562,0.012369792032404802,15.152656091749668,-0.0018967390060424805,0.0003
5,36864,0.0011453049490228295,57.35675277709961,1.437501883506775,0.047916667824028994,16.638053756952285,-0.001336216926574707,0.0003
6,43008,0.0014756828313693404,57.06891975402832,1.4388556718826293,0.0173177091171965,15.476055091619491,0.002321302890777588,0.0003
7,49152,8.400371298193932e-05,58.02551918029785,1.4411852061748505,0.017773437959840523,19.820259067416192,0.0014621615409851074,0.0003
8,55296,0.00014393941964954137,57.12246685028076,1.4429733037948609,0.0,16.24289889037609,0.004935085773468018,0.0003
9,61440,-0.0003263745456933975,57.03264198303223,1.4453202724456786,0.0,21.366535711288453,0.0052367448806762695,0.0003
10,67584,-0.0006071557193990884,54.46354446411133,1.4455403208732605,0.0007161458663176746,18.988098841905593,0.004942476749420166,0.0003
11,73728,-0.000728081469424069,57.269585609436035,1.44480043053627,3.255208430346102e-05,25.145593664050104,0.007883131504058838,0.0003
12,79872,-0.0007686236533800183,51.892868232727054,1.4455862760543823,0.0016276042180834339,20.628903484344484,0.011009812355041504,0.0003
13,86016,-0.00011607916676439344,58.32554244995117,1.4465704619884492,0.0,25.199697923660278,0.008598268032073975,0.0003
14,92160,-6.547057419084012e-05,55.49746437072754,1.4488410115242005,0.0,26.032880610227586,0.016293585300445557,0.0003
15,98304,-0.0016802479163743555,54.87832756042481,1.4504140079021455,0.002571614654152654,27.846737229824065,0.011430680751800537,0.0003
16,104448,-0.0006478052760940045,55.95159015655518,1.4522016584873199,0.0010416667006211354,28.188176542520523,0.01779550313949585,0.0003
17,110592,-0.00025484494399279355,54.4031177520752,1.4525134682655334,0.00039062501455191525,29.51803423166275,0.024734079837799072,0.0003
18,116736,-0.0006960199098102748,52.28362216949463,1.4524092972278595,0.00035807291860692205,28.37238757610321,0.03252971172332764,0.0003
19,122880,-6.125844083726406e-05,59.31602535247803,1.4521519243717194,0.001822916741366498,31.99321178793907,0.028008759021759033,0.0003
20,129024,2.9011443257331847e-05,54.80052165985107,1.4521416485309602,3.255208430346102e-05,27.161437171697617,0.035920679569244385,0.0003
