episode,step,cart_pos,pole_angle,cart_vel,pole_vel,action_idx,action_val,reward
0,1,-0.18670782446861267,0.051139384508132935,-0.0,0.0,0,-5.0,0.9977017045021057
0,2,-0.18882061541080475,0.047940611839294434,-0.37232646346092224,-0.5661983489990234,3,2.5,0.9980418086051941
0,3,-0.19129933416843414,0.044251322746276855,-0.15442393720149994,-0.22311891615390778,2,0.0,0.9982192516326904
0,4,-0.19275996088981628,0.042199090123176575,-0.14053861796855927,-0.19506262242794037,2,0.0,0.99836665391922
0,5,-0.19408845901489258,0.04041476175189018,-0.12779712677001953,-0.169072225689888,2,0.0,0.9984884262084961
0,6,-0.19529567658901215,0.03887889161705971,-0.1161007285118103,-0.14495591819286346,2,0.0,0.9985882043838501
0,7,-0.1963915228843689,0.03757384791970253,-0.10535875707864761,-0.12253724038600922,2,0.0,0.998668909072876
0,8,-0.1973850429058075,0.03648367151618004,-0.09548816084861755,-0.10165382921695709,2,0.0,0.9987330436706543
0,9,-0.19828452169895172,0.03559396043419838,-0.08641279488801956,-0.08215641975402832,2,0.0,0.9987825751304626
0,10,-0.1990974396467209,0.03489172086119652,-0.07806286960840225,-0.06390748918056488,2,0.0,0.9988190531730652
0,11,-0.19983069598674774,0.03436527028679848,-0.07037444412708282,-0.0467805452644825,0,-5.0,0.999056875705719
0,12,-0.20262563228607178,0.030710667371749878,-0.4385906755924225,-0.609597384929657,3,2.5,0.999292254447937
0,13,-0.2057446539402008,0.02660357765853405,-0.21645550429821014,-0.26238328218460083,2,0.0,0.9994158744812012
0,14,-0.20780615508556366,0.024168724194169044,-0.198832705616951,-0.23122721910476685,2,0.0,0.9995146989822388
0,15,-0.20969988405704498,0.02202961966395378,-0.18265566229820251,-0.20266146957874298,2,0.0,0.9995934963226318
0,16,-0.2114396095275879,0.02016182243824005,-0.16780129075050354,-0.17645259201526642,2,0.0,0.9996561408042908
0,17,-0.2130378931760788,0.018543092533946037,-0.1541568636894226,-0.15238642692565918,2,0.0,0.9997057914733887
0,18,-0.21450619399547577,0.017153237015008926,-0.14161905646324158,-0.1302666813135147,2,0.0,0.9997448325157166
0,19,-0.21585501730442047,0.015973905101418495,-0.13009323179721832,-0.10991334915161133,2,0.0,0.9997753500938416
0,20,-0.21709397435188293,0.014988472685217857,-0.11949272453784943,-0.09116136282682419,2,0.0,0.9997988939285278
0,21,-0.21823184192180634,0.014181869104504585,-0.10973814874887466,-0.07385942339897156,2,0.0,0.9998166561126709
0,22,-0.21927665174007416,0.013540462590754032,-0.10075683891773224,-0.05786862224340439,0,-5.0,0.9999048113822937
0,23,-0.2223719209432602,0.009755094535648823,-0.4679792821407318,-0.6225841641426086,3,2.5,0.9999697208404541
0,24,-0.2257799655199051,0.005502612795680761,-0.24462483823299408,-0.27652713656425476,2,0.0,0.9999915361404419
0,25,-0.22811956703662872,0.0029079513624310493,-0.22598764300346375,-0.2469947785139084,2,0.0,0.9999996423721313
0,26,-0.2302817851305008,0.000591812189668417,-0.2088833749294281,-0.22021400928497314,2,0.0,0.9999978542327881
0,27,-0.23228119313716888,-0.0014718291349709034,-0.19318290054798126,-0.1959441900253296,2,0.0,0.9999890923500061
0,28,-0.23413114249706268,-0.0033067199401557446,-0.17876802384853363,-0.17396530508995056,2,0.0,0.9999756217002869
