episode,step,cart_pos,pole_angle,cart_vel,pole_vel,action_idx,action_val,reward
0,1,0.09542191028594971,-0.12640699744224548,-0.0,0.0,3,2.5,0.9843736886978149
0,2,0.09643083810806274,-0.1250053197145462,0.17962929606437683,0.2559569478034973,4,5.0,0.9857115745544434
0,3,0.1002204418182373,-0.11953430622816086,0.5323072671890259,0.7773089408874512,1,-2.5,0.9870185256004333
0,4,0.10421226173639297,-0.11393629759550095,0.3003331422805786,0.40387701988220215,1,-2.5,0.9874745607376099
0,5,0.1059827208518982,-0.1119169369339943,0.08562976121902466,0.057489827275276184,3,2.5,0.9879076480865479
0,6,0.10781918466091156,-0.10996541380882263,0.25995105504989624,0.30797845125198364,4,5.0,0.9891862869262695
0,7,0.11238767206668854,-0.10398910939693451,0.6080797910690308,0.8255834579467773,0,-5.0,0.990086019039154
0,8,0.1160464733839035,-0.09956883639097214,0.18409092724323273,0.15908046066761017,3,2.5,0.9906607270240784
0,9,0.118832066655159,-0.09663988649845123,0.35195714235305786,0.4018944203853607,1,-2.5,0.9910411238670349
0,10,0.12110110372304916,-0.09465137124061584,0.1338580846786499,0.0522964708507061,3,2.5,0.9913978576660156
0,11,0.12340801954269409,-0.0927477777004242,0.30579203367233276,0.3021933436393738,4,5.0,0.9924625158309937
0,12,0.12842583656311035,-0.08681858330965042,0.6520099639892578,0.820379376411438,0,-5.0,0.9931999444961548
0,13,0.13250744342803955,-0.08246231824159622,0.22485370934009552,0.15053988993167877,3,2.5,0.9936620593070984
0,14,0.13569162786006927,-0.07961105555295944,0.39082786440849304,0.39342111349105835,1,-2.5,0.9939612746238708
0,15,0.13833744823932648,-0.07770923525094986,0.17034119367599487,0.04221609607338905,3,2.5,0.9942397475242615
0,16,0.14100190997123718,-0.07589633017778397,0.3406878411769867,0.2926091253757477,4,5.0,0.9950933456420898
0,17,0.14636342227458954,-0.07004773616790771,0.6856745481491089,0.8121880292892456,1,-2.5,0.9958865642547607
0,18,0.15183573961257935,-0.0641363188624382,0.44354233145713806,0.4289324879646301,1,-2.5,0.9961694478988647
0,19,0.15499089658260345,-0.06189147010445595,0.2196485698223114,0.07444877922534943,2,0.0,0.9962300658226013
0,20,0.15706892311573029,-0.061399683356285095,0.19994787871837616,0.03475074842572212,2,0.0,0.9962433576583862
0,21,0.15895850956439972,-0.06129114329814911,0.18174481391906738,-0.002576094586402178,2,0.0,0.996212363243103
0,22,0.16067387163639069,-0.0615437775850296,0.16490846872329712,-0.037790000438690186,2,0.0,0.996138870716095
0,23,0.16222791373729706,-0.06213797256350517,0.1493186503648758,-0.0711296871304512,3,2.5,0.9962282776832581
0,24,0.16469839215278625,-0.06141434237360954,0.3222355544567108,0.18582813441753387,2,0.0,0.9964149594306946
0,25,0.1677587926387787,-0.059875115752220154,0.29488444328308105,0.1344413012266159,2,0.0,0.9965391159057617
0,26,0.1705579161643982,-0.05882924795150757,0.2696537971496582,0.08653824031352997,2,0.0,0.9966076016426086
0,27,0.17311584949493408,-0.05824411287903786,0.24636167287826538,0.04176652058959007,2,0.0,0.9966254830360413
0,28,0.17545099556446075,-0.0580904521048069,0.22484076023101807,-0.00019931886345148087,2,0.0,0.9965961575508118
0,29,0.17758016288280487,-0.0583421029150486,0.2049374282360077,-0.039659615606069565,2,0.0,0.9965218901634216
0,30,0.1795186847448349,-0.05897575989365578,0.1865105777978897,-0.07689180970191956,3,2.5,0.9965978264808655
0,31,0.18234668672084808,-0.05832806974649429,0.356839656829834,0.1766061782836914,2,0.0,0.9967625737190247
0,32,0.18573956191539764,-0.05689852312207222,0.3270482122898102,0.1219157874584198,2,0.0,0.9968646764755249
0,33,0.18884773552417755,-0.0559939406812191,0.29955506324768066,0.07096654176712036,2,0.0,0.9969109296798706
0,34,0.1916930228471756,-0.05557931587100029,0.27416324615478516,0.02337823063135147,2,0.0,0.996906042098999
0,35,0.19429537653923035,-0.055623240768909454,0.25069180130958557,-0.021200019866228104,2,0.0,0.9968530535697937
0,36,0.19667300581932068,-0.05609764903783798,0.22897450625896454,-0.06309200078248978,3,2.5,0.9969381093978882
0,37,0.19990886747837067,-0.055334292352199554,0.39630207419395447,0.18626295030117035,2,0.0,0.9971024394035339
0,38,0.20368069410324097,-0.05382895469665527,0.3637036979198456,0.12769381701946259,2,0.0,0.9972031712532043
0,39,0.20714101195335388,-0.05288540944457054,0.33361777663230896,0.07320677489042282,2,0.0,0.9972473978996277
0,40,0.21031363308429718,-0.05246541649103165,0.30582958459854126,0.022388890385627747,2,0.0,0.9972401261329651
0,41,0.21322035789489746,-0.05253467708826065,0.2801418602466583,-0.02514086477458477,2,0.0,0.9971843957901001
0,42,0.2158811241388321,-0.05306252837181091,0.2563732862472534,-0.06973403692245483,3,2.5,0.9972565770149231
0,43,0.2193806767463684,-0.05237779766321182,0.42183414101600647,0.17724356055259705,2,0.0,0.9974015951156616
0,44,0.22339807450771332,-0.05097438767552376,0.38746851682662964,0.11638728529214859,2,0.0,0.9974845051765442
0,45,0.22708697617053986,-0.05015464127063751,0.35574325919151306,0.05979527160525322,2,0.0,0.9975121021270752
0,46,0.23047244548797607,-0.04987863451242447,0.32643285393714905,0.007034651003777981,2,0.0,0.9974889159202576
0,47,0.2335774302482605,-0.05011054128408432,0.2993302047252655,-0.042293913662433624,2,0.0,0.9974175095558167
0,48,0.2364228367805481,-0.05081837251782417,0.27424493432044983,-0.08855883032083511,3,2.5,0.9974669218063354
