episode,step,cart_pos,pole_angle,cart_vel,pole_vel,cart_pos_dis,pole_angle_dis,cart_vel_dis,pole_vel_dis,action_idx,action_val,reward,epsilon,q_0,q_1,q_2,q_3,q_4,q_5,q_6,q_7,q_8,q_9,q_10,q_11,q_12,q_13,q_14,q_15,q_16,q_17,q_18,q_19,q_20,q_21,q_22,q_23,q_24,q_25,q_26,q_27,q_28,q_29,q_30,q_31,q_32,q_33,q_34,q_35,q_36,q_37,q_38,q_39,q_40,q_41,q_42,q_43,q_44,q_45,q_46,q_47,q_48,q_49,q_50,q_51,q_52,q_53,q_54,q_55,q_56,q_57,q_58,q_59,q_60,q_61,q_62,q_63,q_64,q_65,q_66,q_67,q_68,q_69,q_70,q_71,q_72,q_73,q_74,q_75,q_76,q_77,q_78,q_79,q_80,q_81,q_82,q_83,q_84,q_85,q_86,q_87,q_88,q_89,q_90,q_91,q_92,q_93,q_94,q_95,q_96,q_97,q_98,q_99
0,0,0.13649877905845642,-0.12030722945928574,0.0,-0.0,0,-1,0,0,92,8.585858585858585,0.9867891669273376,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04933945834636688,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,0.14009113609790802,-0.11493861675262451,0.633709728717804,0.9529573917388916,0,-1,1,8,61,2.3232323232323235,0.9890788197517395,0.9999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04945394098758698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,2,0.14710256457328796,-0.10450436919927597,0.7542409300804138,1.1206789016723633,0,-1,1,9,17,-6.565656565656566,0.9903473854064941,0.9998000100000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04951736927032471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,3,0.151497021317482,-0.09824788570404053,0.20255032181739807,0.2580953538417816,0,-1,0,2,32,-3.5353535353535355,0.9903413653373718,0.9997000299990001,0.0,0.0,0.0,0.048643952608108526,0.0,0.0,0.0,0.04935626685619354,0.0,0.0,0.0,0.04894267022609711,0.0,0.0497351735830307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04839976131916046,0.0,0.0,0.0,0.049517068266868594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04963492453098298,0.0,0.0,0.0,0.049357163906097415,0.0,0.04910446405410767,0.0,0.0,0.0,0.0,0.04886487424373627,0.0
0,4,0.15189480781555176,-0.09827833622694016,-0.0818151980638504,-0.19350330531597137,0,-1,0,-2,76,5.353535353535353,0.9906226396560669,0.9996000599960002,0.0,0.0,0.0,0.0,0.0,0.0,0.04864621162414551,0.0,0.04930931329727173,0.0,0.0,0.0,0.049016293883323674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.049350771307945254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04836991131305695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0483634352684021,0.0,0.0,0.0,0.049321630597114564,0.0,0.0,0.04922023415565491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.049531131982803345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,5,0.15334764122962952,-0.09683672338724136,0.3191559910774231,0.40749460458755493,0,-1,0,3,58,1.717171717171718,0.9915329217910767,0.9995000999900007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04883942306041718,0.0,0.0,0.0,0.0,0.0,0.0,0.049568817019462585,0.0,0.0,0.0,0.0,0.0,0.04929831624031067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.048743399977684024,0.05364764482975007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.049460992217063904,0.0,0.0,0.0,0.04957664608955384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04890287220478058,0.0,0.0,0.048510611057281494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.053547532621026045,0.0,0.0,0.0,0.048574349284172064,0.0,0.04963358938694001,0.04890994131565094,0.0,0.0,0.0,0.0,0.0,0.0
0,6,0.15709546208381653,-0.09201660752296448,0.41869035363197327,0.5458763837814331,0,-1,0,4,42,-1.5151515151515156,0.9922593235969543,0.9994001499800017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04912420213222504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04908836483955384,0.0,0.0,0.0,0.05387268514633179,0.0,0.0,0.04961296617984772,0.048989638686180115,0.0,0.0,0.0,0.0,0.0,0.0,0.04928052127361298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04845694601535797,0.0,0.0,0.04849997758865357,0.0,0.0,0.0,0.0,0.0,0.04979512989521027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04890030026435852,0.04942738711833954,0.0,0.04956069588661194,0.0,0.05460718387365341,0.0,0.0,0.0
0,7,0.1604239046573639,-0.08798123151063919,0.2694181799888611,0.30264535546302795,0,-1,0,2,76,5.353535353535353,0.9933118224143982,0.9993002099650037,0.0,0.0,0.0,0.09723916947841646,0.0,0.0,0.0,0.09371193498373032,0.04854048192501068,0.0,0.0,0.04894267022609711,0.0,0.0497351735830307,0.0,0.0,0.0,0.0,0.0,0.049071893095970154,0.04974683225154877,0.0,0.0,0.0,0.0,0.0,0.0,0.04827690422534943,0.04839976131916046,0.09327633589506149,0.0,0.0,0.049517068266868594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.048657518625259404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.048932707309722906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.049467182159423834,0.049665591120719915,0.0,0.0,0.0,0.0,0.0,0.0,0.04967702627182007,0.0,0.04856427907943726,0.0,0.04963492453098298,0.0,0.0,0.0,0.049357163906097415,0.0,0.04910446405410767,0.0,0.0,0.0,0.0,0.04886487424373627,0.0
0,8,0.16524669528007507,-0.08178143203258514,0.6452082395553589,0.8672509789466858,0,-1,1,7,4,-9.191919191919192,0.9936491847038269,0.9992002799440072,0.0,0.048993834853172304,0.049116823077201846,0.0,0.04968245923519135,0.0,0.0,0.0,0.04940362870693207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.049576437473297125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04868398606777191,0.0,0.0,0.0,0.04901481568813324,0.048581224679946904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.049510473012924196,0.049748682975769044,0.0,0.0,0.0,0.0,0.0,0.09807352423667909,0.0,0.0,0.0,0.0,0.0,0.053546724978089336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04974452555179596,0.0,0.0,0.0,0.0,0.0,0.049391970038414,0.0,0.0,0.0,0.0,0.049347156286239625,0.0,0.0,0.0,0.0,0.0,0.0,0.04950877130031586,0.0
1,9,0.16747942566871643,-0.07969196140766144,-0.09510552138090134,-0.28386127948760986,0,-1,0,-2,0,-10.0,0.9920510053634644,0.9991003599160128,0.04960255026817322,0.0,0.0,0.049335166811943054,0.0,0.0,0.04864621162414551,0.0,0.09829797446727753,0.04948265850543976,0.048725277185440063,0.0,0.049016293883323674,0.0,0.0,0.0,0.04847905635833741,0.0,0.0,0.0,0.0,0.04888294041156769,0.0,0.049350771307945254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04836269319057465,0.0,0.0,0.0,0.0,0.0,0.04836991131305695,0.0,0.0,0.0,0.0,0.04864656925201416,0.0,0.0,0.0,0.0,0.0,0.04954769909381867,0.04957721531391144,0.0,0.0,0.0483634352684021,0.0,0.0,0.0,0.049321630597114564,0.0,0.0,0.04922023415565491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05349659473896027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.049531131982803345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.048849040269851686
