step,avg_reward,optimal_pct,cumulative_regret,q_error
1,0.0008254822757842664,10.100000000000001,1.53148878209971,4.95255958190946
2,-0.018123943816211106,10.45,3.086722295815991,4.902378342471299
3,0.03060861925528952,10.7,4.576944880011062,4.852684428663844
4,0.009632484226907928,9.3,6.1258456255210145,4.802780753506109
5,0.05342189054319988,10.4,7.646018230085573,4.7533149724115455
6,-0.011768379773888782,8.95,9.199362092924451,4.703197288613818
7,0.022586264662514368,9.75,10.72736250662798,4.653423151260429
8,-0.06244512791658462,8.55,12.305821929190216,4.602798699981268
9,-0.008731624221424315,10.9,13.824849451434355,4.552711383739049
10,0.04021611794598985,10.9,15.331011194182013,4.503113544918513
11,1.0706613532594749,42.95,15.784793864343508,4.466656845316515
12,0.7223147931625244,20.3,16.62335265019474,4.427472407023957
13,0.46262798774024144,13.55,17.7064924465155,4.386168160945558
14,0.29810182774414834,10.15,18.93343497637249,4.343611229721233
15,0.10591964950462207,4.75,20.358467360150467,4.299480432302161
16,-0.10394648000421118,4.0,21.981536264289023,4.253599891170681
17,-0.3221245473142435,1.8499999999999999,23.802290571105786,4.205894541160305
18,-0.43705087151487026,1.55,25.793886252784574,4.1574283543991735
19,-0.6681599800662761,1.15,28.013133319573733,4.1071396513826794
20,-1.0490610463293875,0.8500000000000001,30.60555650417522,4.053771571494055
21,1.1716588072632481,51.7,30.954703662461366,4.021496370550441
22,0.8500938741059639,23.599999999999998,31.63834485028779,3.9871106903410873
23,0.6041379561252915,14.799999999999999,32.560749924082394,3.9510122031150745
24,0.38426030494657154,10.100000000000001,33.691357911344504,3.913289042189534
25,0.2503053249763612,8.05,34.985470392919694,3.8747666274406085
26,0.12409433759918846,8.4,36.395532643335564,3.835443103177592
27,-0.02114167722080782,9.049999999999999,37.94975440058128,3.7951183805398547
28,-0.10219387896741242,10.15,39.590079465445434,3.7543710426851633
29,-0.17402914939210057,13.100000000000001,41.25589776782019,3.7132974282893305
30,-0.12867503954102144,14.75,42.898042548798706,3.67297473604653
31,0.08352813401006631,18.7,44.322356068161476,3.6349675815459346
32,0.2424967454120833,18.099999999999998,45.60154492629921,3.598823171928616
33,0.3065188465953368,16.45,46.81221932785363,3.5636709055766156
34,0.31893845560899625,15.0,47.99871106352748,3.529002475765484
35,0.3976802014736623,16.150000000000002,49.13858174809059,3.49549144504666
36,0.30503608311453967,16.2,50.32456899073278,3.4614704215267404
37,0.29150498068995345,14.149999999999999,51.55365093459612,3.4277206492074335
38,0.2804195535049306,15.5,52.8076731474401,3.3942223817965496
39,0.23765461734246604,16.05,54.09439009806343,3.3606957507250517
40,0.20752848387986877,14.499999999999998,55.42431304900765,3.327252451801698
41,0.2230382191790821,15.7,56.7131950103574,3.2942808810237003
42,0.22651873504975556,16.3,58.01359552984589,3.261679179664367
43,0.23248309286275756,15.25,59.32050571737957,3.2294825302124135
44,0.21818200452269765,17.299999999999997,60.61675246247418,3.197448371392978
45,0.24007336304552285,15.55,61.91795540751669,3.165965794546482
46,0.266367352126772,16.05,63.20207875552217,3.1350477313466625
47,0.22829323693436454,17.2,64.45304128252789,3.104052660149643
48,0.27726525651691836,17.7,65.68107448407793,3.0738251554787923
49,0.3228157221068318,16.6,66.93066648111053,3.044418189458684
50,0.28146508138490123,16.7,68.17946277066436,3.014890417064427
51,0.30687595522321853,16.75,69.39573481448683,2.9858946632348946
52,0.2604806795273605,17.299999999999997,70.6440601310505,2.956756147634548
53,0.315009662389649,16.7,71.86364342617382,2.9284527433682985
54,0.3148413704497228,18.9,73.0648814349775,2.9004191980459058
55,0.27269080431393694,17.8,74.30672014304561,2.8722975691483805
56,0.303072903634638,16.75,75.54109327653616,2.8447751677020476
57,0.2812368551208954,18.6,76.76725497717648,2.817283589640457
58,0.3410967093178274,17.1,77.96319162637317,2.790651952290169
59,0.2696547944028065,16.650000000000002,79.2132896911334,2.763647122893816
60,0.28119821144053514,16.0,80.43403433726135,2.737008645802216
61,0.3055940538642,17.4,81.66513377184259,2.710918469486821
62,0.3443811429010271,18.8,82.8907260259395,2.6854709326817234
63,0.34253842436550924,18.65,84.06867962136069,2.6602248358462464
64,0.270042939434919,17.5,85.28175937418996,2.634558932955095
65,0.3346261185924098,18.6,86.48419210125671,2.6097966239314747
66,0.35551320547369025,18.6,87.66818778800534,2.5854434134691995
67,0.39912188190221587,19.2,88.82048501045836,2.561730874271042
68,0.36494604084623916,18.45,89.99779927218194,2.537976469296882
69,0.33285509335903585,18.55,91.19836211481301,2.514134112516863
70,0.3854600758739949,20.7,92.34907467588212,2.4910467852860743
71,0.32224527604004854,20.849999999999998,93.52337594711885,2.4675837462804897
72,0.3495930342646965,18.75,94.6866420292851,2.4446456008731947
73,0.39366483575975186,20.25,95.80324515919112,2.4223356407798824
74,0.3767212425540431,18.45,96.97394621157476,2.4001371240161347
75,0.41317356142569184,20.05,98.13523942329972,2.3784984025364797
76,0.37780994704289494,19.950000000000003,99.28619878985953,2.3567457263012628
77,0.3631293166983519,20.05,100.44172093334767,2.3350721587539573
78,0.40573675189286584,21.9,101.57267581712742,2.314031766203451
79,0.4385711185143333,20.7,102.69593598181369,2.293520686880032
80,0.4081729761959024,20.65,103.8412402303876,2.272911487875096
81,0.3929557783216749,19.8,104.97371330814101,2.252395197221388
82,0.42595185582789097,21.7,106.0801021025744,2.2323685756008707
83,0.4012215490687963,21.75,107.21366655990934,2.2122755864796155
84,0.47867157114068903,21.45,108.28609946513461,2.1930879378265558
85,0.4595534310813679,21.349999999999998,109.37312575791996,2.1739893491280218
86,0.47552376017230036,21.95,110.43733116670923,2.155205240500934
87,0.5073487680558976,23.0,111.48565197938117,2.1369466006855657
88,0.4349296499834607,22.3,112.5814801627226,2.118196840818998
89,0.4662764463726229,23.75,113.62257258455794,2.0998658642182395
90,0.45781414445746316,22.35,114.71911086502904,2.081723467480719
91,0.4465022373384776,21.65,115.77434437952166,2.0635897480064167
92,0.4544042825447799,24.349999999999998,116.83171237390458,2.0456869840795147
93,0.4695103864190501,23.599999999999998,117.87285004756546,2.028117789224976
94,0.4638440604669934,23.05,118.9224156272826,2.0106330216190096
95,0.47890384853061996,23.200000000000003,120.00355381643392,1.9935801949653147
96,0.4988542553114022,23.45,121.04576549013211,1.976873580216394
97,0.5230927343475769,25.75,122.05163776408926,1.9605023494050928
98,0.4773289120456285,23.549999999999997,123.09301892702679,1.9438408937687308
99,0.4611820784258439,23.799999999999997,124.13367098850877,1.9273131571727278
100,0.5191243342307301,25.5,125.13008303744485,1.9113695781434221
101,0.5179479107205334,26.6,126.12418839395531,1.8956321782624468
102,0.4800416378890892,23.799999999999997,127.13086971623677,1.8796547980627978
103,0.5263624336926234,23.9,128.11889982352645,1.8643375037841947
104,0.5424373472178208,25.15,129.11967748744686,1.8493151885868815
105,0.5607531241279425,26.25,130.0975063380174,1.8345383912580446
106,0.5523532421420005,28.449999999999996,131.04866192332815,1.8198991617734306
107,0.5885663929098527,25.25,132.0465489334438,1.8057873222681406
108,0.5771699980366417,26.0,133.02185774121045,1.7916597846433213
109,0.575142006300647,27.650000000000002,133.97790100987174,1.7776757807253567
110,0.5330364387860419,27.35,134.94850532852487,1.7633555472394273
111,0.5482988940122444,27.6,135.90741407628028,1.7493129025705942
112,0.6166517990087214,27.400000000000002,136.85060520297193,1.73609138728707
113,0.5777869289842011,29.15,137.77512537535583,1.7226476346550907
114,0.6126104618487211,28.499999999999996,138.68466698597481,1.7095709294570736
115,0.5502784155625329,28.599999999999998,139.6303437476294,1.6960585071388452
116,0.5833480920739794,28.749999999999996,140.57609961964278,1.683092580574477
117,0.6190838158701085,27.700000000000003,141.47982205477462,1.670567553496365
118,0.632663232517813,28.050000000000004,142.40248581294344,1.6582699124970226
119,0.6477519000752839,30.15,143.3103812204641,1.6462529228815075
120,0.6146869266904182,30.349999999999998,144.19437161614817,1.633985516629925
121,0.66761729768064,31.05,145.07423424537626,1.6223813883689433
122,0.6642191817274605,30.55,145.95629815831802,1.6107409054509332
123,0.6693762184361376,30.15,146.82195627115604,1.5992952274455874
124,0.7365206502688115,33.4,147.63843498256907,1.5886692889249723
125,0.6679805106010799,31.7,148.49713201316905,1.5775358445640768
126,0.6783668849194388,32.25,149.35015424770248,1.5666560083017518
127,0.6859372606635334,31.55,150.18832166287186,1.5558745783868144
128,0.6728530863649149,31.3,151.04188167489414,1.54517810483447
129,0.6563836834308466,31.75,151.9018219551086,1.5345465209542912
130,0.6614396911644131,31.15,152.7656720092772,1.5238995796402424
131,0.7263317379668363,33.0,153.59544899992602,1.5138153174641296
132,0.6936837318015271,33.35,154.427420146976,1.5037377188683005
133,0.7520327593395378,33.75,155.2225693867864,1.4941570030608267
134,0.729163754177211,32.9,156.0492464209474,1.4844607864791168
135,0.7449563499087078,34.65,156.84601112667227,1.474963611855681
136,0.707889614462446,33.25,157.65803785337405,1.4651776076210001
137,0.7616890650835039,34.25,158.4370680641994,1.456093280495906
138,0.743633074761162,33.75,159.21049419239654,1.4469025240011892
139,0.7581742054193821,35.8,159.97728196118777,1.4378098266348205
140,0.8008977940449953,36.55,160.733567874925,1.4292481782136672
141,0.8079227471318519,37.25,161.49158312675115,1.42077141572982
142,0.8060028388844889,36.0,162.23076350464729,1.4123752725547403
143,0.799574209365385,36.55,162.9956279715781,1.404038968457372
144,0.8199594041826889,37.3,163.71146204468008,1.3959233371582411
145,0.8090636236205634,38.25,164.41196105000978,1.3879924415997436
146,0.7298994690908407,37.75,165.13683385589093,1.379274741881802
147,0.7919413858476398,37.4,165.85843547268382,1.371451566376376
148,0.7688256302051549,36.9,166.60715599809066,1.3629671270856492
149,0.7894455522365116,38.6,167.33720666312516,1.3548798460614075
150,0.8165213236083451,37.15,168.0579360164533,1.3471464180392427
151,0.8389416965277959,39.1,168.73382477514633,1.3399182968541719
152,0.8476820326079384,39.2,169.43895247432778,1.3326885590617614
153,0.8296297441567124,39.15,170.11092730548236,1.3253673070217662
154,0.7663997775075767,38.35,170.81644256652865,1.3175787314444793
155,0.8607665700382492,39.15,171.51452889716094,1.3103908493684568
156,0.8627121258989405,40.400000000000006,172.1871324500031,1.3037127137178304
157,0.8965880449936011,40.699999999999996,172.8577277063066,1.2971920433797504
158,0.8802938422725518,41.85,173.52259079565104,1.2906280343942818
159,0.8445872829256248,40.6,174.18796619509843,1.2838041639447813
160,0.868027528264715,40.1,174.86495361456636,1.2773854642614726
161,0.8995530542875922,41.55,175.52055307698248,1.270956583476302
162,0.9059378070198733,42.699999999999996,176.13498727436846,1.2649258987815315
163,0.8966620237038796,42.3,176.7800316944851,1.2587869099650193
164,0.8993044044118358,43.15,177.3932359422675,1.252766797893076
165,0.923348551289298,42.85,178.03527713579615,1.246794122995535
166,0.876344178080159,43.6,178.66059077302347,1.2407817145612632
167,0.8388657030519189,43.15,179.3055785408642,1.2344156682463747
168,0.8928981760066571,43.3,179.94038179190247,1.2287494001242136
169,0.8956267226380691,44.35,180.54284535011567,1.2232526497801832
170,0.9175035688722313,42.699999999999996,181.1682121464814,1.2176233536828065
171,0.9497172513302355,42.85,181.77043820662016,1.212558040843982
172,0.9908738831226067,42.75,182.3646583031407,1.2077120271513118
173,0.8883142346203311,43.4,182.97206801146731,1.20202580763021
174,0.9145516955305496,43.3,183.58343145290522,1.196736085184882
175,0.9303693283744094,44.45,184.18661004698546,1.191244378888253
176,0.9233514510996809,45.0,184.76486851437147,1.186077603745207
177,0.9269972226335985,45.45,185.35845235959414,1.1810085481765973
178,0.9301702346878711,44.6,185.9639008494282,1.175878613256054
179,0.9619789151330767,46.35,186.53061497277218,1.1707775726648515
180,0.9915466142183145,47.199999999999996,187.08067891425938,1.1662685744114571
181,1.0106557993827174,47.449999999999996,187.60592999977376,1.1619095288311865
182,0.9517803425551162,46.75,188.1693744254501,1.1571368507449908
183,0.9578229845199104,46.650000000000006,188.71915767199872,1.1525401139009677
184,0.9771328102624692,45.85,189.27958906136428,1.1480743583014035
185,0.9939281008578713,47.099999999999994,189.80312109026943,1.1435453490216718
186,0.9658983739087169,45.95,190.36356434900443,1.1391843613655213
187,0.9966532384304004,47.599999999999994,190.8895135349574,1.135083641760977
188,0.9582719189948335,46.550000000000004,191.46111509351505,1.13047533232456
189,1.0149520627768216,47.25,192.0102969273893,1.1261901627143778
190,1.042950504914419,48.75,192.52896194795267,1.1222158993030438
191,0.994279251879845,49.6,193.0346824839707,1.1179266122946836
192,1.0147798398089114,49.7,193.52922682870755,1.1142177939891997
193,1.042521362822911,50.1,194.02451214172024,1.1105854307487002
194,0.9867360396561428,48.4,194.53222999425392,1.1067499443025832
195,1.0160200349708648,49.75,195.02715047939955,1.1030803106129323
196,1.0076953474170667,48.05,195.55296481242314,1.0989378452822063
197,1.046940026485142,49.5,196.03161219086155,1.0953155126248717
198,1.0082301219378724,50.24999999999999,196.5043950779149,1.0918034252266238
199,1.005602552767693,49.8,196.99072889870635,1.0882245748983126
200,1.0495575170799558,50.449999999999996,197.47442881369102,1.0849787451345003
201,1.0553398951602162,50.3,197.96979394620033,1.0813072121846186
202,1.0588661480099835,50.3,198.454294018485,1.0779481145563594
203,1.0370638295080956,50.4,198.93607454619448,1.0743969364713044
204,1.054903905592223,49.95,199.41506151427103,1.0710249203064224
205,1.0392714817049717,50.6,199.88911942868674,1.0673062764503845
206,1.0553117850624898,50.3,200.37799162256985,1.0641509003678795
207,1.0891720283993078,51.5,200.84190179160083,1.0613050678424718
208,1.0530852138955717,51.9,201.27738963047355,1.0581215319314041
209,1.0406941421985199,51.4,201.74407336309142,1.0545487309371289
210,1.1175402077294077,52.349999999999994,202.19880339044627,1.0516800979980119
211,1.0629953582888612,52.449999999999996,202.64994612269845,1.0484567557686528
212,1.1028781690038456,52.449999999999996,203.11818801667897,1.0454310892806775
213,1.0956441100592593,53.05,203.5551434937891,1.042438190532501
214,1.0927614853977434,54.1,203.97901143678567,1.0397973016855542
215,1.073756320731872,52.949999999999996,204.4124444336756,1.036883985297387
216,1.0876354912183142,52.55,204.85184169661576,1.0338634586283906
217,1.0726356528150356,54.15,205.25646739116223,1.0311098970322772
218,1.1151316471532786,53.849999999999994,205.6732425608007,1.028636332615009
219,1.068169409290318,53.55,206.12464751140985,1.0258079966092597
220,1.1184215890566687,53.75,206.53326589481355,1.0234709338745156
221,1.1408794214811249,53.65,206.95239975364169,1.0208803289192159
222,1.1172703198762142,54.05,207.3602414358932,1.0183746224479062
